Year,Month,WB,CB,EB
1983,4,21.46666666666667,15.50769230769231,17.125
1983,5,20.166666666666664,15.299999999999997,16.175
1983,8,10.085714285714285,14.46851851851852,15.592105263157897
1983,10,10.325,14.799999999999999,15.78076923076923
1984,4,18.65,14.415999999999999,15.1
1984,5,16.2,15.05384615384615,15.616666666666662
1984,8,9.666666666666666,15.044642857142858,15.211764705882354
1984,12,10.475000000000001,14.869444444444447,15.016666666666666
1985,4,10.124285714285715,14.681466666666669,14.935500000000001
1985,8,8.986666666666666,14.63115107913669,14.923620689655172
1985,11,13.0525,14.65602941176471,14.610000000000001
1986,4,12.326666666666666,14.847031249999999,15.202972972972972
1986,8,10.117142857142856,14.156166666666667,14.932641509433967
1987,4,13.635869565217389,14.035,14.576666666666672
1987,8,9.573684210526316,14.011864406779662,14.724528301886794
1988,4,11.471428571428572,13.87049180327869,14.515
1988,8,9.222222222222221,14.574137931034484,14.774137931034483
1989,8,10.466666666666667,13.821008403361347,14.153571428571427
1990,4,14.438235294117646,14.138709677419357,14.868421052631575
1990,8,11.069444444444445,14.232758620689655,14.565517241379311
1991,4,13.499999999999998,14.83225806451613,14.847368421052632
1991,8,9.68888888888889,14.446610169491526,14.505357142857141
1992,4,14.54722222222222,14.412903225806453,14.797368421052633
1993,4,15.283333333333328,14.65,15.094736842105258
1996,4,14.80825,14.622860215053763,14.82536
1996,8,9.937517241379313,14.465388888888889,15.046757575757576
1997,4,15.222649122807018,14.582724137931036,15.259580000000001
1997,8,10.725818181818182,14.440876923076923,14.9377
1998,4,11.216068965517241,14.306434782608695,15.52873076923077
1998,8,9.418518518518518,14.556944444444444,15.29375
1999,3,16.446428571428573,14.834042553191491,15.488461538461538
1999,8,10.123688888888887,14.906278048780486,15.550944117647058
2000,4,13.965172413793104,15.723478260869564,15.810384615384617
2000,8,11.042857142857141,15.10986842105263,15.556129032258063
2001,4,14.493238,15.694421260869564,16.101668653846154
2001,8,10.259872107142856,16.387870225,16.728264545454547
2002,4,13.260919603448276,16.09753804347826,16.296148480769233
2002,8,10.546230464285713,15.859921451612903,16.456239838709678
2003,4,13.668079474999999,15.03866227272727,16.565461211538462
2003,8,11.53003737037037,16.014014578125,16.680611074074076
2004,4,14.257565206896551,16.313738073170732,17.163744833333336
2004,8,11.082411214285715,16.66970412244898,18.03469737037037
2005,4,15.429068212121212,16.94901617741936,17.27258024390244
2005,8,10.613931034482759,17.07501818181818,16.587703703703706
2006,4,13.93141379310345,17.964333333333332,18.409
2006,8,11.609821428571427,17.16943859649123,18.227208333333333
2007,4,11.52565517241379,17.22936956521739,18.291846153846155
2007,8,10.104827586206898,16.803520833333334,17.73017857142857
2008,4,17.16867857142857,16.68108888888889,17.18261538461538
2008,8,11.761357142857142,17.76441818181818,18.900962962962964
2009,4,15.648185185185186,17.08076086956522,17.66876
2009,8,12.497071428571429,16.6178431372549,18.145464285714283
2010,4,12.45907142857143,16.025586956521735,17.15723076923077
2010,8,11.131000000000002,16.043490909090906,16.94226666666667
2011,8,12.175185185185185,16.450836363636363,17.22474074074074
2012,4,15.809962962962963,17.418023255813953,18.147884615384616
2012,8,11.59037037037037,16.783717391304346,17.73176
2013,4,16.358851851851853,17.302976744186047,18.4725
2013,8,13.674461538461541,16.450644444444446,17.669642857142858
2014,4,16.141185185185183,16.70644186046512,18.274538461538462
2014,8,11.84732142857143,17.407192307692306,18.044653846153842
2015,4,12.591555555555557,17.767906976744182,18.053153846153847
2015,8,11.211067629629627,17.538907407407407,17.83025
2016,4,18.466222222222225,16.950139534883714,17.957346153846153
2016,8,11.399153846153846,16.652000000000005,18.02806896551724
2017,4,13.296080592592592,16.482953488372093,18.16646153846154
