,Year,Month,mean
0,1983,4,17.125
1,1983,5,16.175
2,1983,8,15.592105263157897
3,1983,10,15.78076923076923
4,1984,4,15.1
5,1984,5,15.616666666666662
6,1984,8,15.211764705882354
7,1984,12,15.016666666666666
8,1985,4,14.935500000000001
9,1985,8,14.923620689655172
10,1985,11,14.610000000000001
11,1986,4,15.202972972972972
12,1986,8,14.932641509433967
13,1987,4,14.576666666666672
14,1987,8,14.724528301886794
15,1988,4,14.515
16,1988,8,14.774137931034483
17,1989,8,14.153571428571427
18,1990,4,14.868421052631575
19,1990,8,14.565517241379311
20,1991,4,14.847368421052632
21,1991,8,14.505357142857141
22,1992,4,14.797368421052633
23,1993,4,15.094736842105258
24,1996,4,14.82536
25,1996,8,15.046757575757576
26,1997,4,15.259580000000001
27,1997,8,14.9377
28,1998,4,15.52873076923077
29,1998,8,15.29375
30,1999,3,15.488461538461538
31,1999,8,15.550944117647058
32,2000,4,15.810384615384617
33,2000,8,15.556129032258063
34,2001,4,16.101668653846154
35,2001,8,16.728264545454547
36,2002,4,16.296148480769233
37,2002,8,16.456239838709678
38,2003,4,16.565461211538462
39,2003,8,16.680611074074076
40,2004,4,17.163744833333336
41,2004,8,18.03469737037037
42,2005,4,17.27258024390244
43,2005,8,16.587703703703706
44,2006,4,18.409
45,2006,8,18.227208333333333
46,2007,4,18.291846153846155
47,2007,8,17.73017857142857
48,2008,4,17.18261538461538
49,2008,8,18.900962962962964
50,2009,4,17.66876
51,2009,8,18.145464285714283
52,2010,4,17.15723076923077
53,2010,8,16.94226666666667
54,2011,8,17.22474074074074
55,2012,4,18.147884615384616
56,2012,8,17.73176
57,2013,4,18.4725
58,2013,8,17.669642857142858
59,2014,4,18.274538461538462
60,2014,8,18.044653846153842
61,2015,4,18.053153846153847
62,2015,8,17.83025
63,2016,4,17.957346153846153
64,2016,8,18.02806896551724
65,2017,4,18.16646153846154
