,DATE,"PHOSPHORUS,UNFILTERED TOTAL","UNITS PHOSPHORUS,UNFILTERED TOTAL","PHOSPHATE,FILTERED REACTIVE","UNITS PHOSPHATE,FILTERED REACTIVE",NITROGEN; TOTAL,UNITS NITROGEN; TOTAL,"NITRATE,  UNFILTERED REACTIVE","UNITS NITRATE,  UNFILTERED REACTIVE","NITRITE,  UNFILTERED REACTIVE","UNITS NITRITE,  UNFILTERED REACTIVE","NITROGEN,TOT,KJELDAHL/UNF.REA","UNITS NITROGEN,TOT,KJELDAHL/UNF.REA","NITRATES TOTAL,   UNFIL.REAC","UNITS NITRATES TOTAL,   UNFIL.REAC","SILICATES,UNFILTERED REACTIVE","UNITS SILICATES,UNFILTERED REACTIVE","CHLORIDE,         UNFIL.REAC","UNITS CHLORIDE,         UNFIL.REAC"
22,2014-05-26,0.056,MILLIGRAM PER LITER,0.0274,MILLIGRAM PER LITER,5.24,MILLIGRAM PER LITER,,,0.059,MILLIGRAM PER LITER,0.54,MILLIGRAM PER LITER,4.43,MILLIGRAM PER LITER,,,56.7,MILLIGRAM PER LITER
23,2014-06-23,0.096,MILLIGRAM PER LITER,0.0421,MILLIGRAM PER LITER,5.76,MILLIGRAM PER LITER,,,0.06,MILLIGRAM PER LITER,0.64,MILLIGRAM PER LITER,4.9,MILLIGRAM PER LITER,,,80.7,MILLIGRAM PER LITER
24,2014-08-25,0.118,MILLIGRAM PER LITER,0.0894,MILLIGRAM PER LITER,5.16,MILLIGRAM PER LITER,,,0.028,MILLIGRAM PER LITER,0.48,MILLIGRAM PER LITER,4.65,MILLIGRAM PER LITER,,,71.3,MILLIGRAM PER LITER
25,2014-09-29,0.083,MILLIGRAM PER LITER,0.0405,MILLIGRAM PER LITER,6.82,MILLIGRAM PER LITER,,,0.024,MILLIGRAM PER LITER,0.8,MILLIGRAM PER LITER,5.63,MILLIGRAM PER LITER,,,70.9,MILLIGRAM PER LITER
26,2014-10-29,0.06,MILLIGRAM PER LITER,,,5.46,MILLIGRAM PER LITER,,,,,1.33,MILLIGRAM PER LITER,,,,,55.7,MILLIGRAM PER LITER
27,2013-04-16,0.103,MILLIGRAM PER LITER,0.0712,MILLIGRAM PER LITER,,,,,0.045,MILLIGRAM PER LITER,0.9,MILLIGRAM PER LITER,4.78,MILLIGRAM PER LITER,,,35.7,MILLIGRAM PER LITER
28,2013-05-27,0.128,MILLIGRAM PER LITER,0.0401,MILLIGRAM PER LITER,,,,,0.22,MILLIGRAM PER LITER,2.24,MILLIGRAM PER LITER,5.42,MILLIGRAM PER LITER,,,71.4,MILLIGRAM PER LITER
29,2013-06-24,0.117,MILLIGRAM PER LITER,0.0191,MILLIGRAM PER LITER,,,,,0.069,MILLIGRAM PER LITER,0.63,MILLIGRAM PER LITER,6.92,MILLIGRAM PER LITER,,,65.4,MILLIGRAM PER LITER
30,2013-08-26,0.185,MILLIGRAM PER LITER,0.125,MILLIGRAM PER LITER,7.6,MILLIGRAM PER LITER,,,0.023,MILLIGRAM PER LITER,0.62,MILLIGRAM PER LITER,7.07,MILLIGRAM PER LITER,,,70.6,MILLIGRAM PER LITER
31,2013-10-21,0.128,MILLIGRAM PER LITER,0.121,MILLIGRAM PER LITER,5.8,MILLIGRAM PER LITER,,,0.067,MILLIGRAM PER LITER,0.78,MILLIGRAM PER LITER,4.71,MILLIGRAM PER LITER,,,44.2,MILLIGRAM PER LITER
