Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
1900,3,,,,573.537,,,,,,,,,,,,0
1900,4,,,,573.668,,,,,,,,,,,,0
1900,5,,,,573.806,,,,,,,,,,,,0
1900,6,,,,573.986,,,,,,,,,,,,0
1900,7,,,,574.016,,,,,,,,,,,,0
1900,8,,,,574.058,,,,,,,,,,,,0
1900,9,,,,573.888,,,,,,,,,,,,0
1900,10,,,,573.747,,,,,,,,,,,,0
1900,11,,,,573.517,,,,,,,,,,,,0
1900,12,,,,573.415,,,,,,,,,,,,0
1901,1,,,,573.018,,,,,,,,,,,,0
1901,2,,,,572.067,,,,,,,,,,,,0
1901,3,,,,572.336,,,,,,,,,,,,0
1901,4,,,,571.706,,,,,,,,,,,,0
1901,5,,,,572.995,,,,,,,,,,,,0
1901,6,,,,573.806,,,,,,,,,,,,0
1901,7,,,,574.035,,,,,,,,,,,,0
1901,8,,,,574.045,,,,,,,,,,,,0
1901,9,,,,573.888,,,,,,,,,,,,0
1901,10,,,,573.566,,,,,,,,,,,,0
1901,11,,,,573.307,,,,,,,,,,,,0
1901,12,,,,573.478,,,,,,,,,,,,0
1902,1,,,,572.316,,,,,,,,,,,,0
1902,2,,,,571.965,,,,,,,,,,,,0
1902,3,,,,572.956,,,,,,,,,,,,0
1902,4,,,,573.215,,,,,,,,,,,,0
1902,5,,,,573.547,,,,,,,,,,,,0
1902,6,,,,573.868,,,,,,,,,,,,0
1902,7,,,,574.488,,,,,,,,,,,,0
1902,8,,,,574.396,,,,,,,,,,,,0
1902,9,,,,574.078,,,,,,,,,,,,0
1902,10,,,,573.907,,,,,,,,,,,,0
1902,11,,,,573.615,,,,,,,,,,,,0
1902,12,,,,573.635,,,,,,,,,,,,0
1903,1,,,,573.688,,,,,,,,,,,,0
1903,2,,,,573.396,,,,,,,,,,,,0
1903,3,,,,573.747,,,,,,,,,,,,0
1903,4,,,,574.298,,,,,,,,,,,,0
1903,5,,,,574.255,,,,,,,,,,,,0
1903,6,,,,574.367,,,,,,,,,,,,0
1903,7,,,,574.416,,,,,,,,,,,,0
1903,8,,,,574.337,,,,,,,,,,,,0
1903,9,,,,574.278,,,,,,,,,,,,0
1903,10,,,,574.035,,,,,,,,,,,,0
1903,11,,,,573.537,,,,,,,,,,,,0
1903,12,,,,573.937,,,,,,,,,,,,0
1904,1,,,,572.697,,,,,,,,,,,,0
