Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
1900,10,,,,573.537,,,,,,,,,,,,0
1900,11,,,,573.307,,,,,,,,,,,,0
1900,12,,,,573.205,,,,,,,,,,,,0
1901,1,,,,572.795,,,,,,,,,,,,0
1901,2,,,,571.847,,,,,,,,,,,,0
1901,3,,,,572.116,,,,,,,,,,,,0
1901,4,,,,571.476,,,,,,,,,,,,0
1901,5,,,,572.776,,,,,,,,,,,,0
1901,6,,,,573.596,,,,,,,,,,,,0
1901,7,,,,573.825,,,,,,,,,,,,0
1901,8,,,,573.835,,,,,,,,,,,,0
1901,9,,,,573.678,,,,,,,,,,,,0
1901,10,,,,573.356,,,,,,,,,,,,0
1901,11,,,,573.097,,,,,,,,,,,,0
1901,12,,,,573.268,,,,,,,,,,,,0
1902,1,,,,572.096,,,,,,,,,,,,0
1902,2,,,,571.745,,,,,,,,,,,,0
1902,3,,,,572.736,,,,,,,,,,,,0
1902,4,,,,573.005,,,,,,,,,,,,0
1902,5,,,,573.337,,,,,,,,,,,,0
1902,6,,,,573.658,,,,,,,,,,,,0
1902,7,,,,574.288,,,,,,,,,,,,0
1902,8,,,,574.196,,,,,,,,,,,,0
1902,9,,,,573.868,,,,,,,,,,,,0
1902,10,,,,573.698,,,,,,,,,,,,0
1902,11,,,,573.406,,,,,,,,,,,,0
1902,12,,,,573.425,,,,,,,,,,,,0
1903,1,,,,573.478,,,,,,,,,,,,0
1903,2,,,,573.186,,,,,,,,,,,,0
1903,3,,,,573.537,,,,,,,,,,,,0
1903,4,,,,574.098,,,,,,,,,,,,0
1903,5,,,,574.058,,,,,,,,,,,,0
1903,6,,,,574.167,,,,,,,,,,,,0
1903,7,,,,574.216,,,,,,,,,,,,0
1903,8,,,,574.137,,,,,,,,,,,,0
1903,9,,,,574.078,,,,,,,,,,,,0
1903,10,,,,573.825,,,,,,,,,,,,0
1903,11,,,,573.327,,,,,,,,,,,,0
1903,12,,,,573.727,,,,,,,,,,,,0
1904,1,,,,572.477,,,,,,,,,,,,0
1904,2,,,,572.657,,,,,,,,,,,,0
1904,3,,,,573.658,,,,,,,,,,,,0
1904,4,,,,574.416,,,,,,,,,,,,0
1904,5,,,,574.406,,,,,,,,,,,,0
1904,6,,,,574.718,,,,,,,,,,,,0
1904,7,,,,574.767,,,,,,,,,,,,0
1904,8,,,,574.616,,,,,,,,,,,,0
1904,9,,,,574.396,,,,,,,,,,,,0
1904,10,,,,574.108,,,,,,,,,,,,0
1904,11,,,,573.737,,,,,,,,,,,,0
1904,12,,,,573.688,,,,,,,,,,,,0
1905,1,,,,572.566,,,,,,,,,,,,0
1905,2,,,,572.297,,,,,,,,,,,,0
1905,3,,,,572.667,,,,,,,,,,,,0
1905,4,,,,573.547,,,,,,,,,,,,0
1905,5,,,,573.927,,,,,,,,,,,,0
