DATE,USGSPCode,RESULT
2002-08-20,0,26.8
2002-09-25,0,26.4
2002-10-28,0,28.2
2002-11-26,0,29.8
2003-03-20,0,16.6
2003-04-23,0,33.7
2003-05-27,0,32.5
2003-06-23,0,34.0
2003-07-21,0,30.3
2003-09-03,0,29.8
2003-10-08,0,35.2
2003-11-25,0,32.4
2004-04-06,0,27.2
2004-05-25,0,15.7
2004-06-29,0,29.5
2004-07-20,0,31.4
2004-08-24,0,28.4
2004-09-28,0,31.0
2004-10-26,0,31.5
2004-11-23,0,34.0
2005-04-12,0,27.8
2005-05-31,0,28.3
2005-06-22,0,32.7
2005-07-25,0,31.6
2005-08-15,0,26.3
2005-09-27,0,31.2
2005-10-31,0,36.6
2005-11-28,0,38.8
2006-06-20,0,31.2
2006-07-24,0,28.6
2006-08-29,0,31.1
2006-10-30,0,23.1
2006-11-21,0,25.5
2007-03-14,0,22.6
2007-06-05,0,32.2
2007-06-26,0,31.2
2007-07-31,0,30.4
2007-09-11,0,31.4
2007-10-29,0,31.3
2007-11-13,0,30.0
2007-12-04,0,39.6
2008-03-25,0,21.2
2008-04-28,0,29.8
2008-05-26,0,32.9
2008-06-16,0,32.4
2008-07-28,0,26.8
2008-08-25,0,33.9
2008-09-29,0,37.4
2008-10-27,0,37.8
2009-03-17,0,24.2
2009-04-21,0,29.2
2009-05-19,0,29.7
2009-06-23,0,28.8
2009-07-20,0,32.6
2009-09-14,0,35.3
2009-10-26,0,32.6
2011-11-16,0,32.650000000000006
2011-11-28,0,24.85
2011-11-30,0,15.399999999999999
2011-12-05,0,20.35
2011-12-12,0,24.55
2011-12-19,0,24.5
2012-01-09,0,25.2
2012-01-16,0,28.1
2012-01-23,0,27.0
2012-01-31,0,35.3
2012-02-06,0,22.75
2012-02-13,0,28.1
2012-02-21,0,27.3
2012-02-28,0,25.1
2012-03-05,0,23.1
2012-03-12,0,24.6
2012-03-20,0,24.0
2012-03-27,0,26.0
2012-04-03,0,26.6
2012-04-10,0,13.7925
2012-04-16,0,28.9
2012-06-11,0,28.7
2012-06-18,0,30.9
2012-06-26,0,29.3
2012-07-03,0,31.9
2012-07-27,0,33.9
2012-07-30,0,32.4
2012-08-10,0,30.9
2012-08-13,0,31.5
2012-09-08,0,22.6
2012-09-18,0,24.3
2012-09-24,0,31.5
2012-10-01,0,31.6
2012-10-10,0,34.9
2012-10-15,0,31.35
2012-10-23,0,31.2
2012-10-29,0,31.2
2012-11-06,0,31.7
2012-11-13,0,30.1
2012-11-19,0,33.8
2012-11-27,0,34.7
2012-12-03,0,32.3
2012-12-10,0,33.2
2013-01-14,0,15.4
2013-01-30,0,23.0
2013-02-12,0,56.1
2013-02-27,0,34.95
2013-03-11,0,13.9
2013-03-12,0,9.59
2013-04-03,0,23.3
2013-04-10,0,22.3
2013-04-24,0,24.85
2013-05-27,0,31.0
2013-06-25,0,29.0
2013-06-26,0,29.7
2013-07-09,0,25.3
2013-07-22,0,25.0
2013-07-29,0,31.4
2013-08-06,0,31.05
2013-08-12,0,23.4
2013-08-19,0,29.7
2013-08-26,0,31.0
2013-09-03,0,28.2
2013-09-17,0,29.8
2013-09-23,0,25.1
2013-09-30,0,29.3
2013-10-07,0,24.45
2013-10-15,0,31.1
2013-10-21,0,29.7
2013-10-28,0,28.3
2013-11-04,0,21.3
2013-11-12,0,25.049999999999997
2013-11-19,0,26.0
2013-11-25,0,27.6
2013-12-02,0,30.6
2013-12-09,0,30.4
2013-12-18,0,32.900000000000006
2014-01-08,0,53.9
2014-01-14,0,30.799999999999997
2014-01-20,0,28.1
2014-02-03,0,110.0
2014-02-10,0,34.3
2014-02-17,0,49.95
2014-02-24,0,34.3
2014-03-03,0,31.5
2014-03-10,0,38.7
2014-03-17,0,22.6
2014-03-24,0,17.8
2014-03-31,0,15.4
2014-04-07,0,22.3
2014-04-09,0,23.8
2014-04-14,0,26.9
2014-04-15,0,22.1
2014-04-16,0,25.4
2014-04-22,0,28.45
2014-04-28,0,29.2
2014-05-01,0,27.8
2014-05-05,0,28.9
2014-05-12,0,28.6
2014-05-15,0,24.4
2014-05-20,0,27.1
2014-06-09,0,29.1
2014-06-16,0,31.15
2014-06-24,0,34.2
2014-07-02,0,31.6
2014-07-09,0,25.3
2014-08-05,0,23.3
2014-08-20,0,31.0
2014-09-08,0,27.1
2014-09-11,0,16.7
2014-09-30,0,31.1
2014-10-06,0,28.8
2014-10-08,0,24.6
2014-10-21,0,29.5
2014-11-10,0,31.4
2014-11-24,0,23.9
2014-11-25,0,24.8
2014-12-15,0,33.4
2014-12-16,0,33.0
2015-01-06,0,28.0
2015-02-10,0,37.4
2015-03-16,0,24.0
2015-03-19,0,20.0
2015-04-09,0,31.5
2015-04-22,0,35.6
2015-05-13,0,34.0
2015-05-19,0,32.6
2015-06-01,0,33.6
2015-06-10,0,32.6
2015-06-15,0,29.6
2015-06-29,0,21.2
2015-07-08,0,32.4
2015-07-13,0,33.8
2015-07-27,0,35.6
2015-08-10,0,34.1
2015-08-11,0,31.6
2015-08-24,0,33.0
2015-09-02,0,37.4
2015-09-08,0,34.05
2015-09-21,0,34.8
2015-10-20,0,35.1
2015-11-24,0,36.8
2016-04-19,0,20.1
2016-05-18,0,30.6
2016-06-07,0,34.9
2016-07-04,0,38.2
2016-08-17,0,33.2
2016-09-26,0,36.6
2016-10-25,0,38.3
2016-11-21,0,32.9
2016-12-05,0,36.0
