ActivityStartDate,USGSPCode,ResultMeasureValue
2000-07-26,0,18.0
2000-08-16,0,27.0
2000-09-18,0,35.0
2001-03-19,0,41.0
2001-06-27,0,28.0
2001-08-16,0,14.0
2001-10-11,0,38.0
2002-03-27,0,49.0
2002-06-04,0,23.0
2002-09-09,0,12.0
2002-10-28,0,70.0
2003-04-14,0,54.0
2003-06-04,0,40.0
2003-08-13,0,26.0
2003-10-08,0,24.0
2004-04-06,0,56.0
2004-07-13,0,23.0
2004-09-08,0,20.0
2004-10-21,0,29.0
2005-04-19,0,55.0
2005-06-14,0,26.0
2005-08-09,0,17.0
2005-10-04,0,32.0
2010-05-21,0,39.0
2010-07-19,0,52.0
2010-08-11,0,51.0
2011-03-29,0,42.0
2011-06-20,0,51.0
2011-08-01,0,54.0
2011-10-18,0,72.0
2012-03-06,0,33.0
2012-03-27,0,43.0
2012-04-09,0,50.0
2012-05-04,0,66.0
2012-05-23,0,49.0
2012-06-19,0,51.0
2012-07-25,0,58.0
2012-08-30,0,64.0
2012-09-11,0,53.0
2012-09-24,0,82.0
2012-10-10,0,59.0
2012-10-19,0,71.0
2013-04-01,0,40.63858
