,DATE,"PHOSPHORUS,UNFILTERED TOTAL","UNITS PHOSPHORUS,UNFILTERED TOTAL","PHOSPHATE,FILTERED REACTIVE","UNITS PHOSPHATE,FILTERED REACTIVE",NITROGEN; TOTAL,UNITS NITROGEN; TOTAL,"NITRATE,  UNFILTERED REACTIVE","UNITS NITRATE,  UNFILTERED REACTIVE","NITRITE,  UNFILTERED REACTIVE","UNITS NITRITE,  UNFILTERED REACTIVE","NITROGEN,TOT,KJELDAHL/UNF.REA","UNITS NITROGEN,TOT,KJELDAHL/UNF.REA","NITRATES TOTAL,   UNFIL.REAC","UNITS NITRATES TOTAL,   UNFIL.REAC","SILICATES,UNFILTERED REACTIVE","UNITS SILICATES,UNFILTERED REACTIVE","CHLORIDE,         UNFIL.REAC","UNITS CHLORIDE,         UNFIL.REAC"
22,2015-08-17,0.11,MILLIGRAM PER LITER,0.0168,MILLIGRAM PER LITER,0.51,MILLIGRAM PER LITER,,,0.015,MILLIGRAM PER LITER,,,0.02,MILLIGRAM PER LITER,,,265.0,MILLIGRAM PER LITER
23,2015-08-17,0.118,MILLIGRAM PER LITER,0.0168,MILLIGRAM PER LITER,0.51,MILLIGRAM PER LITER,,,0.015,MILLIGRAM PER LITER,,,0.02,MILLIGRAM PER LITER,,,265.0,MILLIGRAM PER LITER
24,2015-09-14,0.108,MILLIGRAM PER LITER,0.0372,MILLIGRAM PER LITER,1.67,MILLIGRAM PER LITER,,,0.042,MILLIGRAM PER LITER,,,1.11,MILLIGRAM PER LITER,,,196.0,MILLIGRAM PER LITER
25,2015-09-14,0.128,MILLIGRAM PER LITER,0.0372,MILLIGRAM PER LITER,1.67,MILLIGRAM PER LITER,,,0.042,MILLIGRAM PER LITER,,,1.11,MILLIGRAM PER LITER,,,196.0,MILLIGRAM PER LITER
26,2015-09-14,0.132,MILLIGRAM PER LITER,0.0372,MILLIGRAM PER LITER,1.67,MILLIGRAM PER LITER,,,0.042,MILLIGRAM PER LITER,,,1.11,MILLIGRAM PER LITER,,,196.0,MILLIGRAM PER LITER
27,2015-10-13,0.097,MILLIGRAM PER LITER,0.0318,MILLIGRAM PER LITER,1.46,MILLIGRAM PER LITER,,,0.033,MILLIGRAM PER LITER,,,0.369,MILLIGRAM PER LITER,,,208.0,MILLIGRAM PER LITER
28,2015-10-13,0.114,MILLIGRAM PER LITER,0.0318,MILLIGRAM PER LITER,1.46,MILLIGRAM PER LITER,,,0.033,MILLIGRAM PER LITER,,,0.369,MILLIGRAM PER LITER,,,208.0,MILLIGRAM PER LITER
29,2015-10-13,0.116,MILLIGRAM PER LITER,0.0318,MILLIGRAM PER LITER,1.46,MILLIGRAM PER LITER,,,0.033,MILLIGRAM PER LITER,,,0.369,MILLIGRAM PER LITER,,,208.0,MILLIGRAM PER LITER
30,2015-11-23,0.06,MILLIGRAM PER LITER,0.0407,MILLIGRAM PER LITER,1.46,MILLIGRAM PER LITER,,,0.028,MILLIGRAM PER LITER,,,0.994,MILLIGRAM PER LITER,,,359.0,MILLIGRAM PER LITER
31,2015-11-23,0.139,MILLIGRAM PER LITER,0.0407,MILLIGRAM PER LITER,1.46,MILLIGRAM PER LITER,,,0.028,MILLIGRAM PER LITER,,,0.994,MILLIGRAM PER LITER,,,359.0,MILLIGRAM PER LITER
32,2015-11-23,0.142,MILLIGRAM PER LITER,0.0407,MILLIGRAM PER LITER,1.46,MILLIGRAM PER LITER,,,0.028,MILLIGRAM PER LITER,,,0.994,MILLIGRAM PER LITER,,,359.0,MILLIGRAM PER LITER
33,2014-01-20,0.061,MILLIGRAM PER LITER,0.0369,MILLIGRAM PER LITER,3.3,MILLIGRAM PER LITER,,,0.046,MILLIGRAM PER LITER,,,2.22,MILLIGRAM PER LITER,,,899.0,MILLIGRAM PER LITER
34,2014-02-03,0.097,MILLIGRAM PER LITER,0.0426,MILLIGRAM PER LITER,2.7,MILLIGRAM PER LITER,,,0.054,MILLIGRAM PER LITER,1.23,MILLIGRAM PER LITER,1.49,MILLIGRAM PER LITER,,,2280.0,MILLIGRAM PER LITER
35,2014-03-17,0.047,MILLIGRAM PER LITER,0.0274,MILLIGRAM PER LITER,2.23,MILLIGRAM PER LITER,,,0.024,MILLIGRAM PER LITER,0.77,MILLIGRAM PER LITER,1.71,MILLIGRAM PER LITER,,,460.0,MILLIGRAM PER LITER
36,2014-04-14,0.046,MILLIGRAM PER LITER,,,1.94,MILLIGRAM PER LITER,,,,,0.85,MILLIGRAM PER LITER,,,,,415.0,MILLIGRAM PER LITER
37,2014-05-20,0.061,MILLIGRAM PER LITER,0.0243,MILLIGRAM PER LITER,2.0,MILLIGRAM PER LITER,,,0.047,MILLIGRAM PER LITER,0.95,MILLIGRAM PER LITER,1.33,MILLIGRAM PER LITER,,,226.0,MILLIGRAM PER LITER
