,DATE,"PHOSPHORUS,UNFILTERED TOTAL","UNITS PHOSPHORUS,UNFILTERED TOTAL","PHOSPHATE,FILTERED REACTIVE","UNITS PHOSPHATE,FILTERED REACTIVE",NITROGEN; TOTAL,UNITS NITROGEN; TOTAL,"NITRATE,  UNFILTERED REACTIVE","UNITS NITRATE,  UNFILTERED REACTIVE","NITRITE,  UNFILTERED REACTIVE","UNITS NITRITE,  UNFILTERED REACTIVE","NITROGEN,TOT,KJELDAHL/UNF.REA","UNITS NITROGEN,TOT,KJELDAHL/UNF.REA","NITRATES TOTAL,   UNFIL.REAC","UNITS NITRATES TOTAL,   UNFIL.REAC","SILICATES,UNFILTERED REACTIVE","UNITS SILICATES,UNFILTERED REACTIVE","CHLORIDE,         UNFIL.REAC","UNITS CHLORIDE,         UNFIL.REAC"
19,2015-06-30,0.31,MILLIGRAM PER LITER,0.179,MILLIGRAM PER LITER,8.06,MILLIGRAM PER LITER,,,0.107,MILLIGRAM PER LITER,,,6.95,MILLIGRAM PER LITER,3.56,MILLIGRAM PER LITER,17.9,MILLIGRAM PER LITER
20,2015-07-28,0.145,MILLIGRAM PER LITER,0.0258,MILLIGRAM PER LITER,0.51,MILLIGRAM PER LITER,,,0.008,MILLIGRAM PER LITER,,,0.024,MILLIGRAM PER LITER,1.04,MILLIGRAM PER LITER,60.2,MILLIGRAM PER LITER
21,2015-09-01,0.081,MILLIGRAM PER LITER,0.0478,MILLIGRAM PER LITER,0.58,MILLIGRAM PER LITER,,,0.021,MILLIGRAM PER LITER,,,0.138,MILLIGRAM PER LITER,2.48,MILLIGRAM PER LITER,49.9,MILLIGRAM PER LITER
22,2015-09-29,0.056,MILLIGRAM PER LITER,0.0153,MILLIGRAM PER LITER,0.52,MILLIGRAM PER LITER,,,0.005,MILLIGRAM PER LITER,,,0.041,MILLIGRAM PER LITER,0.52,MILLIGRAM PER LITER,77.6,MILLIGRAM PER LITER
23,2015-10-27,0.056,MILLIGRAM PER LITER,0.0344,MILLIGRAM PER LITER,0.52,MILLIGRAM PER LITER,,,0.01,MILLIGRAM PER LITER,,,0.02,MILLIGRAM PER LITER,0.56,MILLIGRAM PER LITER,90.0,MILLIGRAM PER LITER
24,2015-12-01,0.085,MILLIGRAM PER LITER,0.0449,MILLIGRAM PER LITER,4.5,MILLIGRAM PER LITER,,,0.032,MILLIGRAM PER LITER,,,3.55,MILLIGRAM PER LITER,1.68,MILLIGRAM PER LITER,93.2,MILLIGRAM PER LITER
25,2014-04-29,0.042,MILLIGRAM PER LITER,0.0108,MILLIGRAM PER LITER,2.48,MILLIGRAM PER LITER,,,0.014,MILLIGRAM PER LITER,0.57,MILLIGRAM PER LITER,2.07,MILLIGRAM PER LITER,0.04,MILLIGRAM PER LITER,68.1,MILLIGRAM PER LITER
26,2014-05-27,0.133,MILLIGRAM PER LITER,0.0547,MILLIGRAM PER LITER,7.27,MILLIGRAM PER LITER,,,0.048,MILLIGRAM PER LITER,0.92,MILLIGRAM PER LITER,6.22,MILLIGRAM PER LITER,2.38,MILLIGRAM PER LITER,32.6,MILLIGRAM PER LITER
27,2014-06-24,0.174,MILLIGRAM PER LITER,0.0366,MILLIGRAM PER LITER,0.91,MILLIGRAM PER LITER,,,0.017,MILLIGRAM PER LITER,0.72,MILLIGRAM PER LITER,0.311,MILLIGRAM PER LITER,1.68,MILLIGRAM PER LITER,68.4,MILLIGRAM PER LITER
28,2014-08-12,0.064,MILLIGRAM PER LITER,0.0943,MILLIGRAM PER LITER,1.85,MILLIGRAM PER LITER,,,0.069,MILLIGRAM PER LITER,0.75,MILLIGRAM PER LITER,1.21,MILLIGRAM PER LITER,1.68,MILLIGRAM PER LITER,67.5,MILLIGRAM PER LITER
