Date,Month,"*Phosphorus, water, unfiltered,  as phosphorus [mg m-3]"
1984-04-06,4,0.045
1984-05-04,5,0.115
1984-06-01,6,0.055
1984-07-06,7,0.07
1984-08-10,8,0.07
1984-09-07,9,0.045
1984-10-05,10,0.13
1984-11-02,11,0.08
1984-12-07,12,0.105
1985-01-03,1,0.025
1985-02-07,2,0.025
1985-03-05,3,0.045
1985-04-04,4,0.08
1985-05-09,5,0.04
1985-06-06,6,0.04
1985-07-11,7,0.09
1985-08-08,8,0.06
1985-09-04,9,0.08
1985-10-10,10,0.045
1985-11-12,11,0.05
1985-12-05,12,0.03
1986-01-09,1,0.04
1986-02-11,2,0.025
1986-03-12,3,0.05
1986-04-14,4,0.05
1986-05-13,5,0.055
1986-06-30,6,0.06
1986-07-29,7,0.095
1986-08-28,8,0.05
1986-09-25,9,0.055
1998-07-01,7,0.048
1998-07-13,7,0.058
1998-07-23,7,0.086
1998-07-29,7,0.061
1998-08-06,8,0.061
1998-08-12,8,0.034
1998-08-20,8,0.074
1998-08-27,8,0.07
1998-09-03,9,0.072
1998-09-08,9,0.07
1998-09-16,9,0.066
1998-09-22,9,0.078
2000-07-20,7,0.056
2000-08-09,8,0.09
2000-09-05,9,0.064
2001-02-14,2,0.056
2001-05-02,5,0.042
2001-07-26,7,0.065
2001-09-17,9,0.017
2001-09-18,9,0.0255
2001-11-19,11,0.0055
2002-01-23,1,0.004
2002-02-28,2,0.026
2002-03-13,3,0.003
2002-03-27,3,0.018
2002-04-03,4,0.063
2002-04-09,4,0.082
2002-05-02,5,0.045
2002-06-05,6,0.01666666667
2002-07-08,7,0.055
2002-07-22,7,0.064
2002-08-20,8,0.06
2002-08-28,8,0.027
2002-09-17,9,0.054
2002-10-17,10,0.026
2002-10-29,10,0.03
2002-11-11,11,0.032
2002-11-12,11,0.059
2002-11-20,11,0.035
2002-11-26,11,0.027
2002-12-10,12,0.0175
2003-02-02,2,0.0145
2003-04-01,4,0.041
2003-04-22,4,0.031
2003-05-01,5,0.0235
2003-06-03,6,0.03
2003-06-12,6,0.037
2003-07-22,7,0.023
2003-08-05,8,0.028
2003-08-20,8,0.069
2003-09-08,9,0.022
2003-09-17,9,0.047
2004-04-07,4,0.045
2004-07-13,7,0.074
2004-09-07,9,0.047
2004-10-20,10,0.032
2005-04-18,4,0.03
2005-06-22,6,0.058
2005-08-08,8,0.056
2005-10-03,10,0.053
2006-04-26,4,0.054
2006-06-20,6,0.046
2006-08-24,8,0.064
2006-10-03,10,0.073
2007-03-15,3,0.046
2007-04-02,4,0.067
2007-04-24,4,0.049
2007-05-17,5,0.048
2007-06-11,6,0.052
2007-06-28,6,0.05
2007-07-25,7,0.045
2007-08-14,8,0.068
2007-08-28,8,0.085
2007-09-10,9,0.073
2007-10-10,10,0.068
2007-11-08,11,0.03
2008-04-17,4,0.06
2008-06-18,6,0.057
2008-07-31,7,0.062
2008-10-22,10,0.04
2009-04-14,4,0.042
2009-06-15,6,0.046
2009-08-05,8,0.033
2009-10-07,10,0.057
2010-04-07,4,0.047
2010-06-15,6,0.068
2010-08-11,8,0.061
2010-10-12,10,0.04
2011-03-28,3,0.04
2011-04-27,4,0.025
2011-05-26,5,0.1
2011-06-16,6,0.022
2011-06-20,6,0.054
2011-07-19,7,0.021
2011-07-27,7,0.188
2011-07-28,7,0.037
2011-07-29,7,0.086
2011-07-31,7,0.089
2011-08-02,8,0.0635
2011-08-08,8,0.063
2011-08-09,8,0.109
2011-08-18,8,0.041
2011-09-20,9,0.026
2011-10-18,10,0.031
2011-10-20,10,0.03
2011-11-16,11,0.03
2011-11-30,11,0.066
2011-12-01,12,0.074
2011-12-03,12,0.041
2011-12-21,12,0.034
2012-01-24,1,0.051
2012-02-23,2,0.012
2012-03-06,3,0.019
2012-03-16,3,0.118
2012-03-19,3,0.041
2012-03-27,3,0.041
2012-04-09,4,0.028
2012-04-18,4,0.047
2012-05-17,5,0.023
2012-05-23,5,0.033
2012-06-13,6,0.059
2012-06-18,6,0.05
2012-06-21,6,0.019
2012-07-05,7,0.501
2012-07-18,7,0.033
2012-07-25,7,0.06
2012-08-15,8,0.027
2012-08-29,8,0.062
2012-09-11,9,0.057
2012-09-19,9,0.036
2012-09-24,9,0.062
2012-10-09,10,0.038
2012-10-18,10,0.021
2012-10-19,10,0.036
2012-11-15,11,0.029
2012-12-19,12,0.025
2013-01-14,1,0.024
2013-01-17,1,0.025
2013-01-29,1,0.018
2013-01-30,1,0.024
2013-01-31,1,0.037
2013-02-21,2,0.016
2013-03-11,3,0.019
2013-03-12,3,0.032
2013-03-13,3,0.038
2013-03-20,3,0.019
2013-04-02,4,0.036
2013-04-13,4,0.042
2013-04-14,4,0.044
2013-04-17,4,0.029
2013-04-18,4,0.04
2013-04-19,4,0.046
2013-05-23,5,0.032
2013-06-04,6,0.057
2013-06-18,6,0.037
2013-06-27,6,0.263
2013-07-17,7,0.044
2013-08-20,8,0.032
2013-08-21,8,0.031
2013-09-17,9,0.017
2013-10-30,10,0.029
2014-12-18,12,0.02
2015-01-22,1,0.029
2015-02-25,2,0.033
2015-03-18,3,0.052
2015-04-22,4,0.043
2015-05-27,5,0.05
2015-06-01,6,0.093
2015-06-18,6,0.05
2015-06-24,6,0.086
2015-07-21,7,0.047
2015-08-19,8,0.049
2015-09-22,9,0.04
2015-10-08,10,0.041
2015-11-12,11,0.036
2015-12-09,12,0.024
2016-01-06,1,0.02
2016-02-10,2,0.026
2016-03-03,3,0.03
2016-04-05,4,0.042
2016-05-11,5,0.0615
2016-06-15,6,0.048
