Date,code,"SRP, mg/L, as P"
2018-01-26,0,0.036
2018-01-27,0,0.027
2018-01-28,0,0.03
2018-01-29,0,0.034
2018-01-30,0,0.029
2018-01-31,0,0.025
2018-02-01,0,0.02
2018-02-02,0,0.022
2018-02-03,0,0.014
2018-02-04,0,0.006
2018-02-05,0,0.0095
2018-02-06,0,0.015
2018-02-07,0,0.017
2018-02-08,0,0.009
2018-02-09,0,0.011
2018-02-10,0,0.009
2018-02-11,0,0.009
2018-02-12,0,0.011666666666666667
2018-02-13,0,0.01
2018-02-14,0,0.005
2018-02-15,0,0.016333333333333335
2018-02-16,0,0.05466666666666667
2018-02-17,0,0.06233333333333333
2018-02-18,0,0.053
2018-02-19,0,0.03725
2018-02-20,0,0.05466666666666667
2018-02-21,0,0.04766666666666667
2018-02-22,0,0.04766666666666667
2018-02-23,0,0.06
2018-02-24,0,0.048
2018-02-25,0,0.051
2018-02-26,0,0.059
2018-02-27,0,0.046
2018-02-28,0,0.042
2018-03-01,0,0.046
2018-03-02,0,0.04766666666666667
2018-03-03,0,0.04933333333333333
2018-03-04,0,0.039
2018-03-05,0,0.04066666666666666
2018-03-06,0,0.022
2018-03-07,0,0.023
2018-03-08,0,0.029
2018-03-09,0,0.019
2018-03-10,0,0.026
2018-03-11,0,0.017
2018-03-12,0,0.018666666666666668
2018-03-13,0,0.009
2018-03-14,0,0.009
2018-03-15,0,0.016
2018-03-16,0,0.014
2018-03-17,0,0.007
2018-03-18,0,0.006
2018-03-19,0,0.011
2018-03-20,0,0.012
2018-03-21,0,0.008
2018-03-22,0,0.01
2018-03-23,0,0.007
2018-03-24,0,0.005
2018-03-25,0,0.01
2018-03-26,0,0.009
2018-03-27,0,0.007666666666666666
2018-03-28,0,0.008
2018-03-29,0,0.0135
2018-03-30,0,0.04533333333333333
2018-03-31,0,0.048
2018-04-01,0,0.034
2018-04-02,0,0.013999999999999999
2018-04-03,0,0.0
2018-04-04,0,0.036000000000000004
2018-04-05,0,0.052
2018-04-06,0,0.027
2018-04-07,0,0.007
2018-04-08,0,0.006
2018-04-09,0,0.011333333333333334
2018-04-10,0,0.009
2018-04-11,0,0.011
2018-04-12,0,0.007
2018-04-13,0,0.004
2018-04-14,0,0.009
2018-04-15,0,0.0055
2018-04-16,0,0.052500000000000005
2018-04-17,0,0.06133333333333333
2018-04-18,0,0.033
2018-04-19,0,0.018
2018-04-20,0,0.014
2018-04-21,0,0.01
2018-04-22,0,0.008
2018-04-23,0,0.007
2018-04-24,0,0.006
2018-04-25,0,0.004
2018-04-26,0,0.006
2018-04-27,0,0.006
2018-04-28,0,0.004
2018-04-29,0,0.004
2018-04-30,0,0.005
2018-05-01,0,0.004
2018-05-02,0,0.004
2018-05-03,0,0.004
2018-05-04,0,0.078
2018-05-05,0,0.071
2018-05-06,0,0.041
2018-05-07,0,0.019333333333333334
2018-05-08,0,0.01
2018-05-09,0,0.007
2018-05-10,0,0.007
2018-05-11,0,0.004
2018-05-12,0,0.004
2018-05-13,0,0.046
2018-05-14,0,0.0585
2018-05-15,0,0.04666666666666666
2018-05-16,0,0.021
2018-05-17,0,0.023
2018-05-18,0,0.011
2018-05-19,0,0.013
2018-05-20,0,0.011
2018-05-21,0,0.015333333333333332
2018-05-22,0,0.046
2018-05-23,0,0.06066666666666667
2018-05-24,0,0.047
2018-05-25,0,0.036
2018-05-26,0,0.033
2018-05-27,0,0.422
2018-05-28,0,0.4093333333333333
2018-05-29,0,0.17733333333333334
2018-05-30,0,0.097
2018-05-31,0,0.077
2018-06-01,0,0.063
2018-06-02,0,0.07
2018-06-03,0,0.054
2018-06-04,0,0.03866666666666667
2018-06-05,0,0.022
2018-06-06,0,0.019
2018-06-07,0,0.014
2018-06-08,0,0.015
2018-06-09,0,0.013
2018-06-10,0,0.05366666666666666
2018-06-11,0,0.11075
2018-06-12,0,0.10233333333333335
2018-06-13,0,0.067
2018-06-14,0,0.058
2018-06-15,0,0.05
2018-06-16,0,0.04
2018-06-17,0,0.027
2018-06-18,0,0.014
2018-06-19,0,0.015
2018-06-20,0,0.007
2018-06-21,0,0.007
2018-06-22,0,0.021
2018-06-23,0,0.006
2018-06-24,0,0.003
2018-06-25,0,0.0033333333333333335
2018-06-26,0,0.002
2018-06-27,0,0.024
2018-06-28,0,0.004
2018-06-29,0,0.003
2018-06-30,0,0.006
2018-07-01,0,0.007
2018-07-02,0,0.006333333333333333
2018-07-03,0,0.002
2018-07-04,0,0.001
2018-07-05,0,0.031
2018-07-06,0,0.016
2018-07-07,0,0.012
2018-07-08,0,0.012
2018-07-09,0,0.011
