Date,Month," *Phosphorus, water, unfiltered, as phosphorus [mg m-3]"
1980-01-22,1,0.02
1980-02-20,2,0.02
1980-03-26,3,0.07
1980-04-29,4,0.18
1980-05-20,5,0.03
1980-06-18,6,0.03
1980-07-16,7,0.02
1980-08-06,8,0.19
1980-09-04,9,0.07
1980-11-13,11,0.07
1981-01-20,1,0.02
1981-03-18,3,0.04
1981-05-20,5,0.01
1981-07-15,7,0.07
1981-09-17,9,0.02
1981-11-18,11,0.18
1982-01-20,1,0.01
1982-03-16,3,0.25
1982-05-19,5,0.02
1982-07-13,7,0.03
1982-09-01,9,0.04
1982-11-16,11,0.03
1983-02-24,2,0.05
1983-07-06,7,0.02
1983-08-17,8,0.05
1983-11-02,11,0.01
1984-02-23,2,0.03
1984-06-07,6,0.02
1984-08-16,8,0.08
1984-11-08,11,0.01
1985-03-29,3,0.02
1985-06-13,6,0.03
1985-08-21,8,0.02
1985-10-29,10,0.02
1986-03-19,3,0.04
1986-08-19,8,0.02
1986-10-30,10,0.04
1987-03-11,3,0.02
1987-04-16,4,0.03
1987-04-30,4,0.02
1987-05-19,5,0.01
1987-06-23,6,0.175
1987-08-19,8,0.03
1987-11-02,11,0.01
1988-03-08,3,0.01
1988-03-23,3,0.05
1988-04-07,4,0.11
1988-04-21,4,0.02
1988-05-04,5,0.01
1988-05-19,5,0.57
1988-06-23,6,0.02
1988-06-28,6,0.01
1988-08-22,8,0.02
1988-09-08,9,0.01
1988-10-06,10,0.01
1988-11-01,11,0.01
1988-11-17,11,0.02
1989-03-14,3,0.01
1989-06-28,6,0.01
1989-08-21,8,0.02
1989-10-23,10,0.04
1990-03-21,3,0.02
1990-04-09,4,0.09
1990-05-21,5,0.3
1990-06-25,6,0.01
1990-06-28,6,0.03
1990-08-21,8,0.07
1990-08-29,8,0.85
1990-10-29,10,0.12
1990-10-30,10,0.05
1991-04-17,4,0.07
1991-04-23,4,0.35
1991-05-22,5,0.01
1991-06-19,6,0.02
1991-06-26,6,0.02
1991-08-20,8,0.02
1991-08-26,8,0.01
1991-11-13,11,0.05
1992-04-29,4,0.02
1992-06-18,6,0.02
1992-08-13,8,0.01
1992-11-05,11,0.06
1993-04-27,4,0.06
1993-06-08,6,0.01
1993-09-01,9,0.01
1996-03-28,3,0.05
1996-04-26,4,0.08
1996-05-31,5,0.01
1996-06-25,6,0.37
1996-08-28,8,0.01
1996-09-12,9,0.01
1996-10-10,10,0.01
1996-11-05,11,0.01
1996-12-17,12,0.01
1997-01-31,1,0.01
1997-02-21,2,0.41
1997-03-13,3,0.09
1997-04-10,4,0.01
1997-05-01,5,0.01
1997-05-20,5,1.21
1997-06-18,6,0.01
1997-07-16,7,0.12
1997-08-07,8,0.01
1997-08-29,8,0.01
1997-09-25,9,0.04
1997-10-31,10,0.01
1997-11-20,11,0.02
1997-12-18,12,0.01
1998-01-28,1,0.02
1998-02-12,2,0.05
1998-02-26,2,0.03
2011-02-28,2,1.36
2011-03-01,3,0.349
2011-04-25,4,0.072
2011-04-26,4,0.653
2011-06-01,6,0.04
2011-07-06,7,0.009
2011-08-09,8,0.701
2011-10-06,10,0.025
2011-11-08,11,0.011
2011-12-08,12,0.033
2012-01-09,1,0.022
2012-01-17,1,1.05
2012-02-08,2,0.028
2012-03-07,3,0.024
2012-04-10,4,0.018
2012-05-10,5,0.027
2012-06-07,6,0.012
2012-07-09,7,0.006
2012-08-07,8,0.025
2012-08-27,8,0.009
2012-09-06,9,0.055
2012-10-01,10,0.006
2012-10-23,10,0.173
2012-10-25,10,0.136
2012-10-28,10,0.125
2012-10-29,10,0.595
2012-10-30,10,1.01
2012-10-31,10,0.256
2012-11-05,11,0.031
2012-12-04,12,0.037
2013-01-08,1,0.014
2013-01-11,1,0.303
2013-01-18,1,0.024
2013-01-29,1,0.3245
2013-02-05,2,0.04
2013-03-04,3,0.024
2013-03-10,3,0.192
2013-03-11,3,0.595
2013-03-12,3,0.879
2013-03-13,3,0.196
2013-03-30,3,0.115
2013-04-02,4,0.092
2013-04-10,4,1.11
2013-04-11,4,0.88
2013-04-12,4,0.276
2013-05-06,5,0.008
2013-05-28,5,0.16
2013-05-29,5,0.4635
2013-05-30,5,0.114
2013-06-04,6,0.017
2013-06-06,6,1.38
2013-07-02,7,0.01
2013-08-05,8,0.007
2013-09-10,9,0.018
2013-11-06,11,0.015
2013-12-04,12,0.022
2013-12-21,12,2.37
2013-12-22,12,3.66
2014-02-03,2,0.053
2014-03-06,3,0.032
2014-04-11,4,0.203
2014-05-05,5,0.023
2014-06-02,6,0.008
2014-07-07,7,0.013
2014-08-04,8,0.248
2014-09-02,9,0.134
2014-10-07,10,0.007
2014-11-03,11,0.014
2014-12-15,12,0.064
2015-01-06,1,0.04
2015-02-10,2,0.012
2015-03-03,3,0.007
2015-04-10,4,0.011
2015-05-05,5,0.011
2015-06-02,6,0.067
2015-07-08,7,0.189
2015-07-30,7,0.019
2015-09-10,9,0.099
2015-10-05,10,0.009
2015-11-04,11,0.01
2015-12-07,12,0.01
2016-01-04,1,0.03
2016-02-01,2,1.09
2016-03-07,3,0.027
2016-04-04,4,0.017
2016-05-02,5,0.867
2016-06-06,6,0.051
2016-07-06,7,0.024
2016-08-01,8,0.011
2016-09-06,9,0.032
2016-10-03,10,0.02
2016-11-07,11,0.019
2016-12-26,12,1.146
2016-12-27,12,0.469
2017-01-03,1,0.407
2017-01-04,1,0.32
