Date,Units,Result Value
1998-09-08,mg/l,97
2004-09-07,mg/l,143
2003-09-03,mg/l,169
1998-09-03,mg/l,117
1998-09-29,mg/l,107
2013-09-25,mg/L,125.384
2012-09-24,mg/L          ,160
1998-09-22,mg/l,111
2002-09-17,mg/l,137
1998-09-17,mg/l,113
2011-09-13,mg/L          ,130
2010-09-13,mg/L          ,158
2000-09-13,mg/l,67
2013-09-12,mg/L,83.03765
2012-09-11,mg/L          ,130
2001-09-10,mg/l,64
2005-09-01,mg/l,206
2001-08-07,mg/l,192
1998-08-06,mg/l,25
2000-08-30,mg/l,138
2000-08-03,mg/l,54
2012-08-29,mg/L          ,170
1998-08-27,mg/l,99
2013-08-26,mg/L,172.6873
2004-08-24,mg/l,190
2010-08-23,mg/L          ,214
2003-08-21,mg/l,180
1998-08-18,mg/l,124
2011-08-15,mg/L          ,150
2005-08-15,mg/l,170
2010-08-11,mg/L          ,205
2013-07-08,mg/L,161.9308
1998-07-07,mg/l,106
2003-07-31,mg/l,218
2000-07-31,mg/l,40
1998-07-29,mg/l,139
2011-07-28,mg/L          ,49
2004-07-28,mg/l,191
2012-07-25,mg/L          ,160
2005-07-25,mg/l,90
2013-07-23,mg/L,107.3916
2002-07-22,mg/l,83
1998-07-22,mg/l,61
2011-07-21,mg/L          ,210
2000-07-20,mg/l,146
1998-07-13,mg/l,129
2005-07-11,mg/l,202
2003-07-01,mg/l,190
2010-06-07,mg/L          ,86
2002-06-04,mg/l,118
2001-06-04,mg/l,116
2013-06-03,mg/L,120.3904
2001-06-26,mg/l,149
2004-06-24,mg/l,159
2011-06-20,mg/L          ,190
2003-06-02,mg/l,159
2012-06-18,mg/L          ,230
2005-06-14,mg/l,199
2001-05-09,mg/l,209
2003-05-07,mg/l,176
2010-05-05,mg/L          ,112
2012-05-04,mg/L          ,68
2004-05-03,mg/l,208
2011-05-26,mg/L          ,57
2005-05-25,mg/l,190
2004-05-24,mg/l,38
2012-05-23,mg/L          ,150
2001-05-23,mg/l,120
2010-05-21,mg/L          ,147
2013-05-20,mg/L,177.168
2011-05-17,mg/L          ,76
2004-05-10,mg/l,135
2003-05-01,mg/l,172
2012-04-09,mg/L          ,180
2002-04-09,mg/l,104
2003-04-08,mg/l,242
2010-04-07,mg/L          ,180
2005-04-05,mg/l,178
2002-04-03,mg/l,135
2005-04-27,mg/l,171
2011-04-20,mg/L          ,180
2001-04-02,mg/l,186
2013-04-19,mg/L,98.29534
2013-04-01,mg/L,197.2988
2010-03-09,mg/L          ,231
2012-03-06,mg/L          ,140
2004-03-03,mg/l,233
2011-03-28,mg/L          ,180
2012-03-27,mg/L          ,180
2002-03-27,mg/l,164
2004-03-25,mg/l,344
2010-03-24,mg/L          ,194
2011-03-21,mg/L          ,220
2003-03-17,mg/l,282
2005-03-14,mg/l,447
2005-03-14,mg/l,449
2001-02-26,mg/l,98
2002-02-21,mg/l,171
2001-02-12,mg/l,104
2011-11-08,mg/L          ,150
2010-11-08,mg/L          ,156
2003-11-04,mg/l,103
2005-11-03,mg/l,157
2004-11-03,mg/l,118
2000-11-28,mg/l,127
2001-11-27,mg/l,122
2002-11-26,mg/l,126
2005-11-22,mg/l,150
2004-11-22,mg/l,139
2002-11-20,mg/l,129
2003-11-19,mg/l,79
2013-11-18,mg/L,82.69795
2002-11-12,mg/l,95
2013-11-01,mg/L,64.97823
2012-10-09,mg/L          ,140
1998-10-08,mg/l,57
2005-10-04,mg/l,105
2002-10-29,mg/l,114
2001-10-25,mg/l,90
2012-10-19,mg/L          ,120
2011-10-18,mg/L          ,170
2002-10-17,mg/l,137
2003-10-16,mg/l,97
2010-10-12,mg/L          ,189
2004-10-12,mg/l,171
2001-10-11,mg/l,137
2010-10-01,mg/L          ,152
