Date,code,"SRP, mg/L, as P"
2010-08-30,0,0.0101
2010-08-31,0,0.0023
2010-09-01,0,0.0025
2010-09-02,0,0.0023
2010-09-03,0,0.0006
2010-09-04,0,0.0029
2010-09-05,0,0.0016
2010-09-06,0,0.0097
2010-09-07,0,0.009850000000000001
2010-09-08,0,0.0104
2010-09-09,0,0.0093
2010-09-10,0,0.0095
2010-09-11,0,0.0093
2010-09-12,0,0.0084
2010-09-13,0,0.007933333333333334
2010-09-14,0,0.0109
2010-09-15,0,0.0106
2010-09-16,0,0.0098
2010-09-17,0,0.0058
2010-09-18,0,0.013
2010-09-19,0,0.027
2010-09-20,0,0.0456
2010-09-21,0,0.0319
2010-09-22,0,0.0155
2010-09-23,0,0.0097
2010-09-24,0,0.0102
2010-09-25,0,0.0084
2010-09-26,0,0.0089
2010-09-27,0,0.023000000000000003
2010-09-28,0,0.0205
2010-09-29,0,0.0521
2010-09-30,0,0.1703
2010-10-01,0,0.0433
2010-10-02,0,0.0822
2010-10-03,0,0.0857
2010-10-04,0,0.05876666666666667
2010-10-05,0,0.0205
2010-10-06,0,0.024
2010-10-07,0,0.0339
2010-10-08,0,0.0503
2010-10-09,0,0.0461
2010-10-10,0,0.0384
2010-10-11,0,0.025466666666666665
2010-10-12,0,0.0275
2010-10-13,0,0.0268
2010-10-14,0,0.032
2010-10-15,0,0.014
2010-10-16,0,0.0599
2010-10-17,0,0.0757
2010-10-18,0,0.04723333333333334
2010-10-19,0,0.0991
2010-10-20,0,0.0829
2010-10-21,0,0.0461
2010-10-22,0,0.0497
2010-10-23,0,0.0671
2010-10-24,0,0.0592
2010-10-25,0,0.0856
2010-10-26,0,0.0892
2010-10-27,0,0.0773
2010-10-28,0,0.0825
2010-10-29,0,0.0851
2010-10-30,0,0.0658
2010-10-31,0,0.0397
2010-11-01,0,0.05566666666666666
2010-11-02,0,0.089
2010-11-03,0,0.0539
2010-11-04,0,0.0644
2010-11-05,0,0.0426
2010-11-06,0,0.0779
2010-11-07,0,0.1281
2010-11-08,0,0.09076666666666666
2010-11-09,0,0.1504
2010-11-10,0,0.1116
2010-11-11,0,0.1065
2010-11-12,0,0.085
2010-11-13,0,0.0553
2010-11-14,0,0.0448
2010-11-15,0,0.05586666666666667
2010-11-16,0,0.0773
2010-11-17,0,0.0325
2010-11-18,0,0.08
2010-11-19,0,0.0897
2010-11-20,0,0.0228
2010-11-21,0,0.0223
2010-11-22,0,0.028300000000000002
2010-11-23,0,0.0266
2010-11-24,0,0.0304
2010-11-25,0,0.024
2010-11-26,0,0.08345
2010-11-27,0,0.09803333333333335
2010-11-28,0,0.45975
2010-11-29,0,0.0509
2010-11-30,0,0.0362
2010-12-01,0,0.06845
2010-12-02,0,0.06716666666666667
2010-12-03,0,0.0631
2010-12-04,0,0.0343
2010-12-05,0,0.0365
2010-12-06,0,0.0448
2010-12-07,0,0.0614
2010-12-08,0,0.0567
2010-12-09,0,0.0523
2010-12-10,0,0.0439
2010-12-11,0,0.052
2010-12-12,0,0.0303
2010-12-13,0,0.06406666666666667
2010-12-14,0,0.1842
2010-12-15,0,0.0521
2010-12-16,0,0.0609
2010-12-17,0,0.0818
2010-12-18,0,0.0796
2010-12-19,0,0.0835
2010-12-20,0,0.0698
2010-12-21,0,0.07
2010-12-22,0,0.0612
2010-12-23,0,0.0532
2010-12-24,0,0.0426
2010-12-25,0,0.0394
2010-12-26,0,0.0359
2010-12-27,0,0.0413
2010-12-28,0,0.0433
2010-12-29,0,0.0473
2010-12-30,0,0.0537
2010-12-31,0,0.0595
2011-01-01,0,0.0853
2011-01-02,0,0.0879
2011-01-03,0,0.0851
2011-01-04,0,0.0757
2011-01-05,0,0.0612
2011-01-06,0,0.0654
2011-01-07,0,0.0357
2011-01-08,0,0.0556
2011-01-09,0,0.055
2011-01-10,0,0.04673333333333333
2011-01-11,0,0.0411
2011-01-12,0,0.0334
2011-01-13,0,0.0329
2011-01-14,0,0.0379
2011-01-15,0,0.0429
2011-01-16,0,0.0408
2011-01-17,0,0.0456
2011-01-18,0,0.0455
2011-01-19,0,0.0455
2011-01-20,0,0.0594
2011-01-21,0,0.0522
2011-01-22,0,0.0368
2011-01-23,0,0.0281
2011-01-24,0,0.026166666666666668
2011-01-25,0,0.0366
2011-01-26,0,0.0318
2011-01-27,0,0.0474
2011-01-28,0,0.0456
2011-01-29,0,0.0373
2011-01-30,0,0.0364
2011-01-31,0,0.0306
2011-02-01,0,0.0271
2011-02-02,0,0.0202
2011-02-03,0,0.0327
2011-02-04,0,0.0431
2011-02-05,0,0.0368
2011-02-06,0,0.0522
2011-02-07,0,0.0504
2011-02-08,0,0.0589
2011-02-09,0,0.0518
2011-02-10,0,0.0425
2011-02-11,0,0.0545
2011-02-12,0,0.0577
2011-02-13,0,0.0863
2011-02-14,0,0.05393333333333333
2011-02-15,0,0.056
2011-02-16,0,0.0829
2011-02-17,0,0.10725000000000001
2011-02-18,0,0.11533333333333333
2011-02-19,0,0.1249
2011-02-20,0,0.08933333333333333
2011-02-21,0,0.05525
2011-02-22,0,0.0419
2011-02-23,0,0.0423
2011-02-24,0,0.0418
2011-02-25,0,0.0327
2011-02-26,0,0.0329
2011-02-27,0,0.0363
2011-02-28,0,0.10335
2011-03-01,0,0.14326666666666665
2011-03-02,0,0.1370333333333333
2011-03-03,0,0.09799999999999999
2011-03-04,0,0.0878
2011-03-05,0,0.09766666666666667
2011-03-06,0,0.11756666666666667
2011-03-07,0,0.096275
2011-03-08,0,0.07995
2011-03-09,0,0.0834
2011-03-10,0,0.08986666666666666
2011-03-11,0,0.0909
2011-03-12,0,0.07415
2011-03-13,0,0.0599
2011-03-14,0,0.052366666666666666
2011-03-15,0,0.043
2011-03-16,0,0.047850000000000004
2011-03-17,0,0.05205
2011-03-18,0,0.0499
2011-03-19,0,0.0425
2011-03-20,0,0.0335
2011-03-21,0,0.03596666666666667
2011-03-22,0,0.0359
2011-03-23,0,0.0316
2011-03-24,0,0.044
2011-03-25,0,0.0374
2011-03-26,0,0.0313
2011-03-27,0,0.0266
2011-03-28,0,0.02513333333333333
2011-03-29,0,0.0165
2011-03-30,0,0.0139
2011-03-31,0,0.0193
2011-04-01,0,0.0084
2011-04-02,0,0.0094
2011-04-03,0,0.005
2011-04-04,0,0.009266666666666666
2011-04-05,0,0.03225
2011-04-06,0,0.044300000000000006
2011-04-07,0,0.045399999999999996
2011-04-08,0,0.060649999999999996
2011-04-09,0,0.0555
2011-04-10,0,0.04335
2011-04-11,0,0.04006666666666667
2011-04-12,0,0.038
2011-04-13,0,0.0247
2011-04-14,0,0.0232
2011-04-15,0,0.0186
2011-04-16,0,0.0178
2011-04-17,0,0.0206
2011-04-18,0,0.0135
2011-04-19,0,0.0254
2011-04-22,0,0.0649
2011-04-23,0,0.06160000000000001
2011-04-24,0,0.06426666666666667
2011-04-25,0,0.06395
2011-04-26,0,0.09179999999999999
2011-04-27,0,0.0933
2011-04-28,0,0.07393333333333334
2011-04-29,0,0.06695
2011-04-30,0,0.0588
2011-05-01,0,0.053
2011-05-02,0,0.06576666666666667
2011-05-03,0,0.057499999999999996
2011-05-04,0,0.059666666666666666
2011-05-05,0,0.0598
2011-05-06,0,0.0508
2011-05-07,0,0.0528
2011-05-08,0,0.0547
2011-05-09,0,0.04245
2011-05-10,0,0.0301
2011-05-11,0,0.04303333333333333
2011-05-12,0,0.06133333333333333
2011-05-13,0,0.064
2011-05-14,0,0.0565
2011-05-15,0,0.09603333333333335
2011-05-16,0,0.08785
2011-05-17,0,0.0592
2011-05-18,0,0.04385
2011-05-19,0,0.05906666666666666
2011-05-20,0,0.0524
2011-05-21,0,0.0393
2011-05-22,0,0.0465
2011-05-23,0,0.04646666666666666
2011-05-24,0,0.05885
2011-05-25,0,0.061733333333333335
2011-05-26,0,0.0713
2011-05-27,0,0.08996666666666668
2011-05-28,0,0.0863
2011-05-29,0,0.0756
2011-05-30,0,0.0793
2011-05-31,0,0.09430000000000001
2011-06-01,0,0.08513333333333334
2011-06-02,0,0.0854
2011-06-06,0,0.056749999999999995
2011-06-07,0,0.0473
2011-06-08,0,0.0231
2011-06-09,0,0.0118
2011-06-10,0,0.0174
2011-06-11,0,0.0287
2011-06-12,0,0.0362
2011-06-13,0,0.02273333333333333
2011-06-14,0,0.0233
2011-06-15,0,0.019
2011-06-16,0,0.0138
2011-06-17,0,0.0155
2011-06-18,0,0.018
2011-06-19,0,0.0202
2011-06-20,0,0.053575
2011-06-21,0,0.0594
2011-06-22,0,0.0581
2011-06-23,0,0.0582
2011-06-24,0,0.0647
2011-06-25,0,0.0622
2011-06-26,0,0.0478
2011-06-27,0,0.04935
2011-06-28,0,0.0489
2011-06-29,0,0.0394
2011-06-30,0,0.028
2011-07-01,0,0.0031
2011-07-02,0,0.0021
2011-07-03,0,0.0013
2011-07-04,0,0.0008
2011-07-05,0,0.01415
2011-07-06,0,0.0242
2011-07-07,0,0.0237
2011-07-08,0,0.0211
2011-07-09,0,0.0124
2011-07-10,0,0.0191
2011-07-11,0,0.028433333333333328
2011-07-12,0,0.0871
2011-07-13,0,0.0786
2011-07-14,0,0.059
2011-07-15,0,0.0588
2011-07-16,0,0.0584
2011-07-17,0,0.0363
2011-07-18,0,0.032
2011-07-19,0,0.06955
2011-07-20,0,0.10519999999999999
2011-07-21,0,0.0744
2011-07-22,0,0.064
2011-07-23,0,0.07806666666666667
2011-07-24,0,0.10975
2011-07-25,0,0.1481
2011-07-26,0,0.1015
2011-07-27,0,0.08
2011-07-28,0,0.068
2011-08-01,0,0.06653333333333333
2011-08-02,0,0.04426666666666667
2011-08-03,0,0.0456
2011-08-04,0,0.0568
2011-08-05,0,0.0638
2011-08-06,0,0.0442
2011-08-07,0,0.08265
2011-08-08,0,0.13073333333333334
2011-08-09,0,0.106
2011-08-15,0,0.00545
