Date,Units,Result Value
2012-09-24,mg/L          ,82
2012-09-11,mg/L          ,53
2012-08-30,mg/L          ,64
2013-08-20,mg/L,56.39535
2010-08-11,mg/L          ,51
2011-08-01,mg/L          ,54
2012-07-25,mg/L          ,58
2010-07-19,mg/L          ,52
2013-06-03,mg/L,34.69693
2011-06-20,mg/L          ,51
2012-06-19,mg/L          ,51
2012-05-04,mg/L          ,66
2012-05-23,mg/L          ,49
2010-05-21,mg/L          ,39
2012-04-09,mg/L          ,50
2013-04-01,mg/L,40.63858
2012-03-06,mg/L          ,33
2011-03-29,mg/L          ,42
2012-03-27,mg/L          ,43
2013-10-29,mg/L,51.35213
2012-10-19,mg/L          ,71
2011-10-18,mg/L          ,72
2010-10-12,mg/L          ,57
2012-10-10,mg/L          ,59
