Date,code,"Chloride, mg/L"
2018-01-26,0,44.2
2018-01-27,0,46.1
2018-01-28,0,46.4
2018-01-29,0,51.4
2018-01-30,0,56.3
2018-01-31,0,62.0
2018-02-01,0,57.9
2018-02-02,0,63.5
2018-02-03,0,61.1
2018-02-04,0,55.4
2018-02-05,0,73.45
2018-02-06,0,71.8
2018-02-07,0,78.0
2018-02-08,0,75.9
2018-02-09,0,83.4
2018-02-10,0,80.2
2018-02-12,0,99.16666666666667
2018-02-13,0,103.1
2018-02-14,0,84.4
2018-02-15,0,77.3
2018-02-16,0,29.433333333333334
2018-02-17,0,34.1
2018-02-18,0,39.599999999999994
2018-02-19,0,39.075
2018-02-20,0,21.900000000000002
2018-02-21,0,32.4
2018-02-22,0,32.166666666666664
2018-02-23,0,28.95
2018-02-24,0,37.3
2018-02-25,0,24.03333333333333
2018-02-26,0,26.675
2018-02-27,0,36.9
2018-02-28,0,41.5
2018-03-01,0,21.9
2018-03-02,0,17.433333333333334
2018-03-03,0,21.400000000000002
2018-03-04,0,28.7
2018-03-05,0,30.866666666666664
2018-03-06,0,34.6
2018-03-07,0,37.4
2018-03-08,0,38.4
2018-03-09,0,40.8
2018-03-10,0,41.7
2018-03-11,0,42.2
2018-03-12,0,43.36666666666667
2018-03-13,0,44.3
2018-03-14,0,47.4
2018-03-15,0,46.5
2018-03-16,0,48.1
2018-03-17,0,46.4
2018-03-18,0,46.7
2018-03-19,0,46.1
2018-03-20,0,48.2
2018-03-21,0,47.5
2018-03-22,0,65.7
2018-03-23,0,64.4
2018-03-24,0,53.5
2018-03-25,0,58.6
2018-03-26,0,57.5
2018-03-27,0,48.93333333333334
2018-03-28,0,63.5
2018-03-29,0,56.25
2018-03-30,0,20.333333333333332
2018-03-31,0,22.7
2018-04-01,0,31.6
2018-04-02,0,35.199999999999996
2018-04-03,0,33.4
2018-04-04,0,15.166666666666666
2018-04-05,0,20.299999999999997
2018-04-06,0,29.3
2018-04-07,0,33.2
2018-04-08,0,36.1
2018-04-09,0,37.56666666666666
2018-04-10,0,39.7
2018-04-11,0,41.2
2018-04-12,0,41.7
2018-04-13,0,41.7
2018-04-14,0,44.2
2018-04-15,0,34.5
2018-04-16,0,16.3
2018-04-17,0,22.5
2018-04-18,0,29.8
2018-04-19,0,34.5
2018-04-20,0,35.5
2018-04-21,0,37.5
2018-04-22,0,39.1
2018-04-23,0,39.96666666666666
2018-04-24,0,43.8
2018-04-25,0,41.8
2018-04-26,0,0.0
2018-04-27,0,44.0
2018-04-28,0,44.8
2018-04-29,0,45.3
2018-04-30,0,45.36666666666667
2018-05-01,0,46.4
2018-05-02,0,46.3
2018-05-03,0,45.6
2018-05-04,0,39.4
2018-05-05,0,42.3
2018-05-06,0,44.2
2018-05-07,0,47.366666666666674
2018-05-08,0,44.9
2018-05-09,0,45.1
2018-05-10,0,47.0
2018-05-11,0,44.3
2018-05-12,0,46.0
2018-05-13,0,33.15
2018-05-14,0,25.275
2018-05-15,0,25.96666666666667
2018-05-16,0,34.2
2018-05-17,0,37.8
2018-05-18,0,41.5
2018-05-19,0,42.7
2018-05-20,0,37.5
2018-05-21,0,37.36666666666667
2018-05-22,0,21.1
2018-05-23,0,27.333333333333332
2018-05-24,0,38.9
2018-05-25,0,40.6
2018-05-26,0,42.2
2018-05-27,0,30.600000000000005
2018-05-28,0,33.43333333333333
2018-05-29,0,40.86666666666667
2018-05-30,0,45.6
2018-05-31,0,47.6
2018-06-01,0,48.4
2018-06-02,0,41.2
2018-06-03,0,43.9
2018-06-04,0,47.73333333333333
2018-06-05,0,50.1
2018-06-06,0,51.1
2018-06-07,0,52.3
2018-06-08,0,53.9
2018-06-09,0,54.3
2018-06-10,0,36.43333333333333
2018-06-11,0,25.075
2018-06-12,0,29.46666666666667
2018-06-13,0,34.0
2018-06-14,0,36.9
2018-06-15,0,39.2
2018-06-16,0,40.6
2018-06-17,0,42.6
2018-06-18,0,44.099999999999994
2018-06-19,0,45.9
2018-06-20,0,47.6
2018-06-21,0,47.9
2018-06-22,0,49.6
2018-06-23,0,53.3
2018-06-24,0,47.1
2018-06-25,0,48.20000000000001
2018-06-26,0,49.5
2018-06-27,0,87.9
2018-06-28,0,50.8
2018-06-29,0,44.4
2018-06-30,0,46.6
2018-07-01,0,51.4
2018-07-02,0,53.03333333333333
2018-07-03,0,50.0
2018-07-04,0,45.8
2018-07-05,0,45.0
2018-07-06,0,35.3
2018-07-07,0,42.9
2018-07-08,0,47.9
2018-07-09,0,51.650000000000006
