Date,Month," *Phosphorus, water, unfiltered, as phosphorus [mg m-3]"
2014-12-17,12.0,0.039
2015-01-21,1.0,0.065
2015-02-24,2.0,0.034
2015-03-17,3.0,0.071
2015-04-10,4.0,0.292
2015-04-22,4.0,0.062
2015-05-26,5.0,0.097
2015-06-01,6.0,0.105
2015-06-14,6.0,0.132
2015-06-23,6.0,0.22
2015-06-25,6.0,0.15
2015-07-22,7.0,0.07
2015-08-03,8.0,0.27
2015-08-18,8.0,0.091
2015-09-23,9.0,0.059
2015-10-07,10.0,0.05
2015-11-09,11.0,0.049
2015-12-08,12.0,0.032
2016-01-05,1.0,0.045
2016-02-09,2.0,0.048
2016-02-29,2.0,0.169
2016-03-02,3.0,0.05
2016-03-13,3.0,0.209
2016-03-14,3.0,0.125
2016-03-15,3.0,0.09
2016-04-04,4.0,0.052
2016-05-10,5.0,0.087
2016-05-13,5.0,0.28
2016-05-14,5.0,0.128
2016-05-15,5.0,0.11
2016-06-14,6.0,0.089
2016-07-08,7.0,0.379
2016-07-09,7.0,0.251
2016-07-19,7.0,0.086
2016-08-02,8.0,0.088
2016-08-16,8.0,0.33
2016-08-17,8.0,0.164
2016-09-20,9.0,0.046
