#YY,MM,DD,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,degT,m/s,m/s,m,sec,sec,deg T,hPa,degC,degC,degC,nmi,ft
2012,7,6,NAN,2.45,NAN,NAN,NAN,NAN,NAN,NAN,25.925,24.95,NAN,NAN,NAN
2012,7,7,NAN,4.004347826,NAN,NAN,NAN,NAN,NAN,NAN,26.80434783,25.04210526,NAN,NAN,NAN
2012,7,8,NAN,5.243478261,NAN,NAN,NAN,NAN,NAN,NAN,24.15652174,24.73043478,NAN,NAN,NAN
2012,7,9,NAN,4.82173913,NAN,NAN,NAN,NAN,NAN,NAN,23.00434783,24.26521739,NAN,NAN,NAN
2012,7,10,NAN,4.395238095,NAN,NAN,NAN,NAN,NAN,NAN,23.44761905,24.27142857,NAN,NAN,NAN
2012,7,11,NAN,4.526086957,NAN,NAN,NAN,NAN,NAN,NAN,23.88695652,24.2173913,NAN,NAN,NAN
2012,7,12,NAN,4.904545455,NAN,NAN,NAN,NAN,NAN,NAN,24.67272727,22.18888889,NAN,NAN,NAN
2012,7,13,NAN,4.2,NAN,NAN,NAN,NAN,NAN,NAN,25.46,12.25263158,NAN,NAN,NAN
2012,7,14,NAN,3.245454545,NAN,NAN,NAN,NAN,NAN,NAN,23.38181818,12.61818182,NAN,NAN,NAN
2012,7,15,NAN,4.868181818,NAN,NAN,NAN,NAN,NAN,NAN,25.25454545,12.67727273,NAN,NAN,NAN
2012,7,16,NAN,3.517647059,NAN,NAN,NAN,NAN,NAN,NAN,25.67647059,12.95384615,NAN,NAN,NAN
2012,7,17,272.6,5.32,NAN,0.29,NAN,NAN,NAN,NAN,27.6,25.68,NAN,NAN,NAN
2012,7,18,90.63636364,3.745454545,NAN,0.215454545,NAN,NAN,NAN,NAN,26.06363636,25.97727273,NAN,NAN,NAN
2012,7,19,128.2272727,3.636363636,NAN,0.240909091,NAN,NAN,NAN,NAN,24.54545455,26.00454545,NAN,NAN,NAN
2012,7,20,82.27272727,9.163636364,NAN,1.742727273,NAN,NAN,NAN,NAN,22.00909091,24.63181818,NAN,NAN,NAN
2012,7,21,323.6666667,2.066666667,NAN,0.156666667,NAN,NAN,NAN,NAN,24.86666667,25.46666667,NAN,NAN,NAN
2012,7,22,266.8571429,4.933333333,NAN,0.276190476,NAN,NAN,NAN,NAN,24.94285714,24.5952381,NAN,NAN,NAN
2012,7,23,268.0454545,6.309090909,NAN,0.425909091,NAN,NAN,NAN,NAN,26.32727273,24.7,NAN,NAN,NAN
2012,7,24,132.3636364,5.15,NAN,0.407058824,NAN,NAN,NAN,NAN,25.52272727,24.74545455,NAN,NAN,NAN
2012,7,25,132.047619,4.876190476,NAN,NAN,NAN,NAN,NAN,NAN,23.51428571,24.4952381,NAN,NAN,NAN
2012,7,26,198.3181818,4.868181818,NAN,0.136666667,NAN,NAN,NAN,NAN,25.85454545,24.48636364,NAN,NAN,NAN
2012,7,27,106.6428571,2.635714286,NAN,0.206923077,NAN,NAN,NAN,NAN,24.2,24.37857143,NAN,NAN,NAN
2012,7,28,263.7058824,6.505882353,NAN,NAN,NAN,NAN,NAN,NAN,20.85294118,23.48823529,NAN,NAN,NAN
2012,7,29,226.2666667,2.1,NAN,NAN,NAN,NAN,NAN,NAN,21.44,23.84,NAN,NAN,NAN
2012,7,30,150.4736842,4.578947368,NAN,NAN,NAN,NAN,NAN,NAN,24.39473684,24.53684211,NAN,NAN,NAN
2012,7,31,263.7894737,4.889473684,NAN,0.296666667,NAN,NAN,NAN,NAN,25.56315789,25.11578947,NAN,NAN,NAN
2012,8,1,103,3.359090909,NAN,0.247727273,NAN,NAN,NAN,NAN,24.60454545,25.25454545,NAN,NAN,NAN
2012,8,2,208.25,3.095,NAN,0.13,NAN,NAN,NAN,NAN,24.7,25.555,NAN,NAN,NAN
2012,8,3,165.7619048,3.519047619,NAN,0.128095238,NAN,NAN,NAN,NAN,26.35714286,25.52380952,NAN,NAN,NAN
2012,8,4,211,3.27,NAN,0.147,NAN,NAN,NAN,NAN,26.905,25.49,NAN,NAN,NAN
2012,8,5,264.0909091,8.204545455,NAN,0.770909091,NAN,NAN,NAN,NAN,25.61363636,25.11818182,NAN,NAN,NAN
2012,8,6,83.77272727,4.586363636,NAN,0.393636364,NAN,NAN,NAN,NAN,23.48181818,24.92727273,NAN,NAN,NAN
2012,8,7,264,4.245454545,NAN,0.190909091,NAN,NAN,NAN,NAN,23.95454545,24.90454545,NAN,NAN,NAN
2012,8,8,209.6363636,4.636363636,NAN,0.211363636,NAN,NAN,NAN,NAN,25.30454545,25.06818182,NAN,NAN,NAN
2012,8,9,106.2857143,5.080952381,NAN,0.359047619,NAN,NAN,NAN,NAN,23.38571429,25.01428571,NAN,NAN,NAN
2012,8,10,212.3636364,5.754545455,NAN,0.467142857,NAN,NAN,NAN,NAN,21.47272727,24.85,NAN,NAN,NAN
2012,8,11,264.4090909,10.41818182,NAN,NAN,NAN,NAN,NAN,NAN,19.23181818,24.13181818,NAN,NAN,NAN
2012,8,12,321.1363636,6.55,NAN,NAN,NAN,NAN,NAN,NAN,21.47727273,23.6,NAN,NAN,NAN
2012,8,13,227.4090909,4.081818182,NAN,0.145,NAN,NAN,NAN,NAN,22.88181818,23.86818182,NAN,NAN,NAN
2012,8,14,207.4545455,3.868181818,NAN,0.198636364,NAN,NAN,NAN,NAN,21.60909091,23.70909091,NAN,NAN,NAN
2012,8,15,199.5909091,3.463636364,NAN,0.156818182,NAN,NAN,NAN,NAN,22.70909091,23.72272727,NAN,NAN,NAN
2012,8,16,245.1818182,4.377272727,NAN,0.150454545,NAN,NAN,NAN,NAN,23.97727273,23.81363636,NAN,NAN,NAN
2012,8,17,324,6.445454545,NAN,0.585,NAN,NAN,NAN,NAN,22.38636364,23.67727273,NAN,NAN,NAN
2012,8,18,61.27272727,4.031818182,NAN,0.323181818,NAN,NAN,NAN,NAN,21.34545455,23.76818182,NAN,NAN,NAN
