YYYY,MM,DD,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
yy,mm,dd,degT,m/s,m/s,m,sec,sec,degT,hPa,degC,degC,degC,nmi,ft
2005,2,1,82.13815789,1.909210526,3.813157895,NAN,NAN,NAN,NAN,1031.192571,-5.936,NAN,NAN,NAN,NAN
2005,2,2,45.9068323,2.549068323,4.083850932,NAN,NAN,NAN,NAN,1032.587978,-6.671038251,NAN,NAN,NAN,NAN
2005,2,3,180.056962,2.375949367,4.221656051,NAN,NAN,NAN,NAN,1026.241111,-3.84,NAN,NAN,NAN,NAN
2005,2,4,200.9346405,2.608496732,4.037908497,NAN,NAN,NAN,NAN,1028.128409,-1.883522727,NAN,NAN,NAN,NAN
2005,2,5,183.7307692,2.758974359,4.05,NAN,NAN,NAN,NAN,1029.749162,0.582681564,NAN,NAN,NAN,NAN
2005,2,6,132.8407643,2.389808917,4.494230769,NAN,NAN,NAN,NAN,1028.735754,0.916759777,NAN,NAN,NAN,NAN
2005,2,7,166.0743243,3.418918919,5.393918919,NAN,NAN,NAN,NAN,1023.511111,4,NAN,NAN,NAN,NAN
2005,2,8,199.0522876,2.704575163,4.45620915,NAN,NAN,NAN,NAN,1018.6375,3.109659091,NAN,NAN,NAN,NAN
2005,2,9,37.23417722,3.771518987,5.708227848,NAN,NAN,NAN,NAN,1017.448588,-1.124858757,NAN,NAN,NAN,NAN
2005,2,10,255.0512821,3.987820513,6.769230769,NAN,NAN,NAN,NAN,1016.996045,-3.938418079,NAN,NAN,NAN,NAN
2005,2,11,228.5031847,3.872611465,6.723566879,NAN,NAN,NAN,NAN,1019.395028,-4.102762431,NAN,NAN,NAN,NAN
2005,2,12,237.3207547,4.100628931,7.272327044,NAN,NAN,NAN,NAN,1012.822099,1.965745856,NAN,NAN,NAN,NAN
2005,2,13,126.0764331,4.658598726,6.952229299,NAN,NAN,NAN,NAN,1018.836158,-0.249152542,NAN,NAN,NAN,NAN
2005,2,14,153.0915033,7.182352941,11.71568627,NAN,NAN,NAN,NAN,1006.559887,5.282485876,NAN,NAN,NAN,NAN
2005,2,15,181.4117647,3.912418301,7.136601307,NAN,NAN,NAN,NAN,1014.413714,4.966285714,NAN,NAN,NAN,NAN
2005,2,16,275.490566,3.31509434,5.999371069,NAN,NAN,NAN,NAN,1014.945902,1.086338798,NAN,NAN,NAN,NAN
2005,2,17,246.8905109,4.932116788,8.93649635,NAN,NAN,NAN,NAN,1017.005844,-2.798051948,NAN,NAN,NAN,NAN
2005,2,18,264.6602564,4.178205128,7.58525641,NAN,NAN,NAN,NAN,1024.837288,-7.629943503,NAN,NAN,NAN,NAN
2005,2,19,221.4545455,3.862987013,7.245454545,NAN,NAN,NAN,NAN,1026.687571,-3.642372881,NAN,NAN,NAN,NAN
2005,2,20,111.8311688,4.288311688,6.777922078,NAN,NAN,NAN,NAN,1023.99548,-0.057062147,NAN,NAN,NAN,NAN
2005,2,21,227.0275862,3.266896552,5.838888889,NAN,NAN,NAN,NAN,1011.849398,1.626506024,NAN,NAN,NAN,NAN
2005,2,22,235.3612903,2.430967742,4.407096774,NAN,NAN,NAN,NAN,1020.49661,1.106779661,NAN,NAN,NAN,NAN
2005,2,23,187.9423077,3.104487179,5.067307692,NAN,NAN,NAN,NAN,1026.434637,-1.236871508,NAN,NAN,NAN,NAN
2005,2,24,64.20245399,5.402453988,7.671165644,NAN,NAN,NAN,NAN,1023.731351,-3.125405405,NAN,NAN,NAN,NAN
2005,2,25,161.2111801,4.237267081,6.91242236,NAN,NAN,NAN,NAN,1021.124044,-2.839344262,NAN,NAN,NAN,NAN
2005,2,26,277.2272727,3.447727273,6.3125,NAN,NAN,NAN,NAN,1022.90404,-2.007070707,NAN,NAN,NAN,NAN
2005,2,27,69.79084967,5.393464052,7.654248366,NAN,NAN,NAN,NAN,1025.244509,-4.502312139,NAN,NAN,NAN,NAN
2005,2,28,72.64102564,3.155128205,5.128205128,NAN,NAN,NAN,NAN,1006.124022,-0.144134078,NAN,NAN,NAN,NAN
2005,3,1,245.6,6.038064516,10.66129032,NAN,NAN,NAN,NAN,998.8915254,-2.200564972,NAN,NAN,NAN,NAN
2005,3,2,269.9933775,5.256953642,9.386754967,NAN,NAN,NAN,NAN,1013.63908,-4.829885057,NAN,NAN,NAN,NAN
2005,3,3,275.4675325,3.194155844,5.55974026,NAN,NAN,NAN,NAN,1020.667429,-6.454857143,NAN,NAN,NAN,NAN
2005,3,4,161.78125,2.946875,4.643125,NAN,NAN,NAN,NAN,1015.740884,-2.579558011,NAN,NAN,NAN,NAN
2005,3,5,107.21875,2.658125,4.491875,NAN,NAN,NAN,NAN,1015.541209,0.778021978,NAN,NAN,NAN,NAN
2005,3,6,226.6776316,5.421710526,10.25986842,NAN,NAN,NAN,NAN,1012.023563,5.385057471,NAN,NAN,NAN,NAN
2005,3,7,204.94,6.89,12.28666667,NAN,NAN,NAN,NAN,998.5872093,9.184302326,NAN,NAN,NAN,NAN
2005,3,8,304.8321168,5.544525547,10.39854015,NAN,NAN,NAN,NAN,1006.140645,-5.230967742,NAN,NAN,NAN,NAN
2005,3,9,261.4437086,4.135099338,7.190728477,NAN,NAN,NAN,NAN,1014.773988,-5.780924855,NAN,NAN,NAN,NAN
2005,3,10,226.1935484,4.421290323,7.715483871,NAN,NAN,NAN,NAN,1010.172881,-4.886440678,NAN,NAN,NAN,NAN
2005,3,11,238.2413793,4.360689655,7.611724138,NAN,NAN,NAN,NAN,1000.327439,-1.564634146,NAN,NAN,NAN,NAN
2005,3,12,227.9795918,5.229931973,9.115646259,NAN,NAN,NAN,NAN,997.1029762,-0.670833333,NAN,NAN,NAN,NAN
2005,3,13,271.6231884,3.13115942,5.961594203,NAN,NAN,NAN,NAN,1009.976087,-2.810738255,NAN,NAN,NAN,NAN
2005,3,14,239.7391304,2.877391304,4.839130435,NAN,NAN,NAN,NAN,1020.219231,-1.651908397,NAN,NAN,NAN,NAN
2005,3,15,246.3522013,2.686792453,4.837735849,NAN,NAN,NAN,NAN,1023.249451,1.015384615,NAN,NAN,NAN,NAN
