#YY,MM,DD,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,degT,m/s,m/s,m,sec,sec,degT,hPa,degC,degC,degC,nmi,ft
2011,3,22,178.4513889,3.397916667,4.228472222,NAN,NAN,NAN,NAN,NAN,2.472222222,NAN,NAN,NAN,NAN
2011,3,23,38.09774436,4.433082707,5.343181818,NAN,NAN,NAN,NAN,NAN,-0.02406015,NAN,NAN,NAN,NAN
2011,3,24,116.3013699,3.271232877,4.067808219,NAN,NAN,NAN,NAN,NAN,-1.812328767,NAN,NAN,NAN,NAN
2011,3,25,295.8556701,4.692783505,6.045360825,NAN,NAN,NAN,NAN,NAN,-4.440206186,NAN,NAN,NAN,NAN
2011,3,27,203.8988764,2.884269663,3.966292135,NAN,NAN,NAN,NAN,NAN,-3.240449438,NAN,NAN,NAN,NAN
2011,3,28,269.0347222,5.009722222,6.183333333,NAN,NAN,NAN,NAN,NAN,-3.473611111,NAN,NAN,NAN,NAN
2011,3,29,250.1736111,4.541666667,5.683333333,NAN,NAN,NAN,NAN,NAN,-1.574305556,NAN,NAN,NAN,NAN
2011,3,30,113.0684932,2.617808219,3.480136986,NAN,NAN,NAN,NAN,NAN,-0.559589041,NAN,NAN,NAN,NAN
2011,3,31,178.6111111,1.874305556,2.304861111,NAN,NAN,NAN,NAN,NAN,0.375694444,NAN,NAN,NAN,NAN
2011,4,1,231.0347222,4.375694444,5.316666667,NAN,NAN,NAN,NAN,NAN,0.595138889,NAN,NAN,NAN,NAN
2011,4,2,221.5069444,5.375,6.966666667,NAN,NAN,NAN,NAN,NAN,2.154166667,NAN,NAN,NAN,NAN
2011,4,3,210.7891156,4.516326531,6.023809524,NAN,NAN,NAN,NAN,NAN,2.238095238,NAN,NAN,NAN,NAN
2011,4,4,173.175,8.42375,13.905625,NAN,NAN,NAN,NAN,NAN,13.133125,NAN,NAN,NAN,NAN
2011,4,5,238.5394737,9.529605263,11.57236842,NAN,NAN,NAN,NAN,NAN,3.047368421,NAN,NAN,NAN,NAN
2011,4,6,204.1180556,4.172222222,5.886805556,NAN,NAN,NAN,NAN,NAN,2.717361111,NAN,NAN,NAN,NAN
2011,4,7,81.70833333,2.418055556,3.074305556,NAN,NAN,NAN,NAN,NAN,0.96875,NAN,NAN,NAN,NAN
2011,4,8,83.64137931,2.991724138,4.827083333,NAN,NAN,NAN,NAN,NAN,6.970344828,NAN,NAN,NAN,NAN
2011,4,9,122.6758621,2.389655172,3.474482759,NAN,NAN,NAN,NAN,NAN,5.702758621,NAN,NAN,NAN,NAN
2011,4,10,168.1156463,4.708843537,7.6,NAN,NAN,NAN,NAN,NAN,14.34965986,NAN,NAN,NAN,NAN
2011,4,11,207.9240506,8.667088608,12.38164557,NAN,NAN,NAN,NAN,NAN,20.92056738,NAN,NAN,NAN,NAN
2011,4,12,112.3287671,6.454109589,7.945205479,NAN,NAN,NAN,NAN,NAN,5.415753425,NAN,NAN,NAN,NAN
2011,4,13,124.0208333,3.390277778,4.345138889,NAN,NAN,NAN,NAN,NAN,4.300694444,NAN,NAN,NAN,NAN
2011,4,14,180.8541667,2.236111111,2.940277778,NAN,NAN,NAN,NAN,NAN,5.591666667,NAN,NAN,NAN,NAN
2011,4,15,36.07482993,9.163265306,10.93061224,NAN,NAN,NAN,NAN,NAN,4.727891156,NAN,NAN,NAN,NAN
2011,4,16,132.98125,9.939375,15.901875,NAN,NAN,NAN,NAN,NAN,10.7745098,NAN,NAN,NAN,NAN
2011,4,17,235.033557,12.34899329,15.81073826,NAN,NAN,NAN,NAN,NAN,5.499328859,NAN,NAN,NAN,NAN
2011,4,18,190.7638889,4.619444444,5.713194444,NAN,NAN,NAN,NAN,NAN,2.696527778,NAN,NAN,NAN,NAN
2011,4,19,41.9109589,6.760273973,8.065068493,NAN,NAN,NAN,NAN,NAN,2.688356164,NAN,NAN,NAN,NAN
2011,4,20,172.1666667,9.199358974,12.16666667,NAN,NAN,NAN,NAN,NAN,7.062328767,NAN,NAN,NAN,NAN
2011,4,21,244.3287671,8.849315068,10.63150685,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2011,4,22,116.6887417,4.347682119,7.112582781,NAN,NAN,NAN,NAN,NAN,7.153448276,NAN,NAN,NAN,NAN
2011,4,23,177.751634,8.780392157,13.31503268,NAN,NAN,NAN,NAN,NAN,11.03,NAN,NAN,NAN,NAN
2011,4,24,137.8482759,2.546206897,3.468275862,NAN,NAN,NAN,NAN,NAN,8.706293706,NAN,NAN,NAN,NAN
2011,4,25,75.4829932,3.806122449,4.835172414,NAN,NAN,NAN,NAN,NAN,7.542857143,NAN,NAN,NAN,NAN
2011,4,26,108.9933775,4.845033113,7.17218543,NAN,NAN,NAN,NAN,NAN,12.98543046,NAN,NAN,NAN,NAN
2011,4,27,175.0469799,6.147651007,10.14459459,NAN,NAN,NAN,NAN,NAN,21.51073826,NAN,NAN,NAN,NAN
2011,4,28,198.7225806,9.783870968,14.10967742,NAN,NAN,NAN,NAN,NAN,15.32193548,NAN,NAN,NAN,NAN
2011,4,29,235.3243243,9.607432432,11.68310811,NAN,NAN,NAN,NAN,NAN,6.865540541,NAN,NAN,NAN,NAN
2011,4,30,151.3472222,3.040277778,3.747916667,NAN,NAN,NAN,NAN,NAN,5.658333333,NAN,NAN,NAN,NAN
2011,5,1,126.0714286,5.787012987,9.507894737,NAN,NAN,NAN,NAN,NAN,14.71623377,NAN,NAN,NAN,NAN
2011,5,2,193.3129252,4.666666667,6.954794521,NAN,NAN,NAN,NAN,NAN,11.99931973,NAN,NAN,NAN,NAN
2011,5,3,121.6107383,5.467785235,6.810067114,NAN,NAN,NAN,NAN,NAN,6.423489933,NAN,NAN,NAN,NAN
2011,5,4,266,5.176388889,6.255555556,NAN,NAN,NAN,NAN,NAN,5.757638889,NAN,NAN,NAN,NAN
2011,5,5,230.6551724,6.383448276,8.156551724,NAN,NAN,NAN,NAN,NAN,8.317241379,NAN,NAN,NAN,NAN
2011,5,6,210.9027778,4.98125,6.684027778,NAN,NAN,NAN,NAN,NAN,11.17986111,NAN,NAN,NAN,NAN
2011,5,7,215.0833333,3.3625,4.565277778,NAN,NAN,NAN,NAN,NAN,10.22708333,NAN,NAN,NAN,NAN
2011,5,8,111.3611111,1.954166667,2.561111111,NAN,NAN,NAN,NAN,NAN,9.736111111,NAN,NAN,NAN,NAN
2011,5,9,135.4652778,2.050694444,2.700694444,NAN,NAN,NAN,NAN,NAN,9.554861111,NAN,NAN,NAN,NAN
2011,5,10,58.05479452,4.195205479,5.465753425,NAN,NAN,NAN,NAN,NAN,12.28561644,NAN,NAN,NAN,NAN
2011,5,11,58.38194444,3.747222222,4.764583333,NAN,NAN,NAN,NAN,NAN,11.97062937,NAN,NAN,NAN,NAN
2011,5,12,110.9862069,2.702068966,3.664137931,NAN,NAN,NAN,NAN,NAN,13.17448276,NAN,NAN,NAN,NAN
2011,5,13,119.7847222,2.414583333,3.446527778,NAN,NAN,NAN,NAN,NAN,15.21532847,NAN,NAN,NAN,NAN
2011,5,14,152.0069444,2.439583333,3.866666667,NAN,NAN,NAN,NAN,NAN,17.97013889,NAN,NAN,NAN,NAN
2011,5,15,38.94520548,7.323972603,8.921917808,NAN,NAN,NAN,NAN,NAN,9.639726027,NAN,NAN,NAN,NAN
2011,5,16,28.17241379,8.153793103,9.829655172,NAN,NAN,NAN,NAN,NAN,6.669655172,NAN,NAN,NAN,NAN
2011,5,17,32.6369863,8.713013699,10.35684932,NAN,NAN,NAN,NAN,NAN,7.417123288,NAN,NAN,NAN,NAN
2011,5,18,73.85616438,6.27739726,7.796575342,NAN,NAN,NAN,NAN,NAN,9.81969697,NAN,NAN,NAN,NAN
2011,5,19,147.7793103,1.32,2.004137931,NAN,NAN,NAN,NAN,NAN,12.56758621,NAN,NAN,NAN,NAN
2011,5,20,203.1388889,3.352777778,4.130555556,NAN,NAN,NAN,NAN,NAN,11.60486111,NAN,NAN,NAN,NAN
2011,5,21,217.7083333,2.945138889,3.666666667,NAN,NAN,NAN,NAN,NAN,12.36736111,NAN,NAN,NAN,NAN
2011,5,22,122.5069444,2.376388889,3.486805556,NAN,NAN,NAN,NAN,NAN,17.52777778,NAN,NAN,NAN,NAN
2011,5,23,169.4533333,6.030666667,9.834,NAN,NAN,NAN,NAN,NAN,22.62933333,NAN,NAN,NAN,NAN
2011,5,24,218.6351351,6.304054054,8.302054795,NAN,NAN,NAN,NAN,NAN,16.14324324,NAN,NAN,NAN,NAN
2011,5,25,111.3835616,3.565068493,4.403448276,NAN,NAN,NAN,NAN,NAN,12.31780822,NAN,NAN,NAN,NAN
2011,5,26,177.7483444,4.882781457,7.313333333,NAN,NAN,NAN,NAN,NAN,17.91986755,NAN,NAN,NAN,NAN
2011,5,27,105.4482759,3.374482759,4.300689655,NAN,NAN,NAN,NAN,NAN,13.35793103,NAN,NAN,NAN,NAN
2011,5,28,137.1875,2.990972222,3.747222222,NAN,NAN,NAN,NAN,NAN,13.00902778,NAN,NAN,NAN,NAN
2011,5,29,182.9862069,3.06,4.252413793,NAN,NAN,NAN,NAN,NAN,19.46830986,NAN,NAN,NAN,NAN
2011,5,30,132.6571429,2.500714286,3.515,NAN,NAN,NAN,NAN,NAN,19.485,NAN,NAN,NAN,NAN
2011,5,31,193.1736111,3.596527778,4.263888889,NAN,NAN,NAN,NAN,NAN,24.01527778,NAN,NAN,NAN,NAN
2011,6,1,220.3243243,9.118918919,11.55067568,NAN,NAN,NAN,NAN,NAN,23.69121622,NAN,NAN,NAN,NAN
2011,6,2,254.4791667,8.859027778,10.57986111,NAN,NAN,NAN,NAN,NAN,14.52430556,NAN,NAN,NAN,NAN
2011,6,3,234.3333333,3.151388889,4.03125,NAN,NAN,NAN,NAN,NAN,13.41736111,NAN,NAN,NAN,NAN
2011,6,4,156.6642857,4.363571429,6.258273381,NAN,NAN,NAN,NAN,NAN,17.82642857,NAN,NAN,NAN,NAN
2011,6,5,194.4583333,3.135416667,3.926388889,NAN,NAN,NAN,NAN,NAN,17.20486111,NAN,NAN,NAN,NAN
2011,6,6,166.6597222,1.524305556,2.129861111,NAN,NAN,NAN,NAN,NAN,18.16180556,NAN,NAN,NAN,NAN
2011,6,7,162.3918919,3.525,5.10952381,NAN,NAN,NAN,NAN,NAN,20.47094595,NAN,NAN,NAN,NAN
2011,6,8,182.8896552,4.113103448,5.417241379,NAN,NAN,NAN,NAN,NAN,23.90482759,NAN,NAN,NAN,NAN
