#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 10 17 16 00 180  8.8 10.8 99.00 99.00 99.00 999 9999.0  12.3 999.0 999.0 99.0 99.00
2012 10 17 17 00 170  9.8 11.3 99.00 99.00 99.00 999 9999.0  12.9 999.0 999.0 99.0 99.00
2012 10 17 18 00 160  8.8 10.3 99.00 99.00 99.00 999 9999.0  12.7 999.0 999.0 99.0 99.00
2012 10 17 19 00 160  8.8 10.8 99.00 99.00 99.00 999 9999.0  12.9 999.0 999.0 99.0 99.00
2012 10 17 20 00 170  8.2  9.8 99.00 99.00 99.00 999 9999.0  13.1 999.0 999.0 99.0 99.00
2012 10 17 21 00 170  6.7  8.2 99.00 99.00 99.00 999 9999.0  13.3 999.0 999.0 99.0 99.00
2012 10 17 22 00 170  6.7  8.2 99.00 99.00 99.00 999 9999.0  13.1 999.0 999.0 99.0 99.00
2012 10 17 23 00 170  6.7  8.2 99.00 99.00 99.00 999 9999.0  13.0 999.0 999.0 99.0 99.00
2012 10 18 00 00 180  8.2  9.3 99.00 99.00 99.00 999 9999.0  13.6 999.0 999.0 99.0 99.00
2012 10 18 01 00 190  9.3 11.8 99.00 99.00 99.00 999 9999.0  14.0 999.0 999.0 99.0 99.00
2012 10 18 02 00 190  8.2  9.3 99.00 99.00 99.00 999 9999.0  12.9 999.0 999.0 99.0 99.00
2012 10 18 03 00 180  8.2  9.8 99.00 99.00 99.00 999 9999.0  13.4 999.0 999.0 99.0 99.00
2012 10 18 04 00 190  8.8 10.8 99.00 99.00 99.00 999 9999.0  13.0 999.0 999.0 99.0 99.00
2012 10 18 05 00 180  7.7  9.3 99.00 99.00 99.00 999 9999.0  12.5 999.0 999.0 99.0 99.00
2012 10 18 06 00 170  7.2  8.8 99.00 99.00 99.00 999 9999.0  12.5 999.0 999.0 99.0 99.00
2012 10 18 07 00 160  6.2  7.2 99.00 99.00 99.00 999 9999.0  12.4 999.0 999.0 99.0 99.00
2012 10 18 08 00 160  8.2  9.8 99.00 99.00 99.00 999 9999.0  12.5 999.0 999.0 99.0 99.00
2012 10 18 09 00 110  9.3 10.8 99.00 99.00 99.00 999 9999.0  12.3 999.0 999.0 99.0 99.00
2012 10 18 10 00 140  9.8 11.8 99.00 99.00 99.00 999 9999.0  12.6 999.0 999.0 99.0 99.00
2012 10 18 11 00 130 11.8 14.4 99.00 99.00 99.00 999 9999.0  13.4 999.0 999.0 99.0 99.00
2012 10 18 12 00 140 11.8 14.9 99.00 99.00 99.00 999 9999.0  13.2 999.0 999.0 99.0 99.00
2012 10 18 13 00 130 12.4 15.4 99.00 99.00 99.00 999 9999.0  13.1 999.0 999.0 99.0 99.00
2012 10 18 14 00 140 11.8 13.9 99.00 99.00 99.00 999 9999.0  12.9 999.0 999.0 99.0 99.00
2012 10 18 15 00 120 12.4 16.0 99.00 99.00 99.00 999 9999.0  13.1 999.0 999.0 99.0 99.00
2012 10 18 16 00 150 12.4 15.4 99.00 99.00 99.00 999 9999.0  12.9 999.0 999.0 99.0 99.00
2012 10 18 17 00 160 10.3 12.4 99.00 99.00 99.00 999 9999.0  12.7 999.0 999.0 99.0 99.00
2012 10 18 18 00 210  6.7  9.3 99.00 99.00 99.00 999 9999.0  12.0 999.0 999.0 99.0 99.00
2012 10 18 19 30 170  8.8 11.3 99.00 99.00 99.00 999 9999.0  11.0 999.0 999.0 99.0 99.00
2012 10 18 20 00 180 10.3 11.3 99.00 99.00 99.00 999 9999.0  10.8 999.0 999.0 99.0 99.00
2012 10 18 21 15 190  9.3 12.4 99.00 99.00 99.00 999 9999.0  10.9 999.0 999.0 99.0 99.00
2012 10 18 22 00 190  6.7  7.7 99.00 99.00 99.00 999 9999.0  10.7 999.0 999.0 99.0 99.00
2012 10 18 23 00 160  6.2  8.8 99.00 99.00 99.00 999 9999.0  11.0 999.0 999.0 99.0 99.00
2012 10 19 00 00 170  6.7  8.2 99.00 99.00 99.00 999 9999.0  11.3 999.0 999.0 99.0 99.00
2012 10 19 01 00 160  6.7  8.2 99.00 99.00 99.00 999 9999.0  11.5 999.0 999.0 99.0 99.00
2012 10 19 02 00 200  6.2  9.3 99.00 99.00 99.00 999 9999.0  11.3 999.0 999.0 99.0 99.00
2012 10 19 03 00 160  6.7  8.2 99.00 99.00 99.00 999 9999.0  11.8 999.0 999.0 99.0 99.00
2012 10 19 04 00 150  7.7  9.3 99.00 99.00 99.00 999 9999.0  11.8 999.0 999.0 99.0 99.00
2012 10 19 05 00 160  9.3 11.3 99.00 99.00 99.00 999 9999.0  11.8 999.0 999.0 99.0 99.00
2012 10 19 06 00 170  8.2  9.8 99.00 99.00 99.00 999 9999.0  11.6 999.0 999.0 99.0 99.00
2012 10 19 07 00 170  6.7  7.7 99.00 99.00 99.00 999 9999.0  11.4 999.0 999.0 99.0 99.00
2012 10 19 08 00 180  5.7  6.7 99.00 99.00 99.00 999 9999.0  11.3 999.0 999.0 99.0 99.00
