YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 04 10 15 310  5.6  6.4  1.01  5.88  4.53 999 1019.5   0.1   0.8 999.0 99.0 99.00
2004 04 10 16 309  5.9  6.8  0.85  5.56  4.27 999 1019.9   0.1   0.8 999.0 99.0 99.00
2004 04 10 17 325  6.3  7.2  0.72  5.26  3.96 999 1019.8   0.3   0.8 999.0 99.0 99.00
2004 04 10 18 345  6.1  7.0  0.68  5.00  3.68 999 1020.0   0.2   0.8 999.0 99.0 99.00
2004 04 10 19   1  5.5  6.3  0.60  4.55  3.69 999 1020.1   0.3   0.9 999.0 99.0 99.00
2004 04 10 20  14  4.6  5.5  0.63  4.17  3.71 999 1020.1   0.2   0.9 999.0 99.0 99.00
2004 04 10 21  24  2.1  2.7  0.60  4.55  3.80 999 1020.2   0.4   0.9 999.0 99.0 99.00
2004 04 10 22  21  2.2  2.5  0.59  4.35  3.79 999 1020.0   0.5   0.9 999.0 99.0 99.00
2004 04 10 23  35  2.3  2.7  0.52  4.55  3.78 999 1020.0   0.5   0.9 999.0 99.0 99.00
2004 04 11 00  57  1.6  1.8  0.44  4.00  3.62 999 1020.0   0.3   0.9 999.0 99.0 99.00
2004 04 11 01  45  1.4  1.8  0.39  4.35  3.57 999 1020.3   0.3   0.8 999.0 99.0 99.00
2004 04 11 02  43  1.0  1.5  0.29  4.00  3.44 999 1020.7   0.3   0.8 999.0 99.0 99.00
2004 04 11 03 263  0.2  0.5  0.29  3.70  3.42 999 1020.9   0.2   0.8 999.0 99.0 99.00
2004 04 11 04 297  1.3  1.6  0.27  3.85  3.35 999 1020.8   0.3   0.6 999.0 99.0 99.00
2004 04 11 05 263  1.9  2.3  0.22  3.70  3.33 999 1021.1   0.6   0.7 999.0 99.0 99.00
2004 04 11 06 269  2.9  3.5  0.18  3.70  3.20 999 1021.3   0.8   0.7 999.0 99.0 99.00
2004 04 11 07  12  3.7  4.4  0.17  3.33  3.24 999 1021.1   0.7   0.8 999.0 99.0 99.00
2004 04 11 08 358  4.3  5.4  0.24  3.33  3.03 999 1021.0   0.5   0.9 999.0 99.0 99.00
2004 04 11 09 350  5.8  6.6  0.38  3.45  3.24 999 1021.5   0.0   0.9 999.0 99.0 99.00
2004 04 11 10 343  5.4  6.4  0.61  4.00  3.69 999 1022.0  -0.2   1.0 999.0 99.0 99.00
2004 04 11 11 344  5.3  6.5  0.66  4.76  3.93 999 1022.0  -0.4   1.0 999.0 99.0 99.00
2004 04 11 12 335  4.8  5.9  0.68  5.00  4.08 999 1022.5  -0.5   1.0 999.0 99.0 99.00
2004 04 11 13 340  4.0  4.9  0.61  4.76  3.97 999 1022.8  -0.7   1.0 999.0 99.0 99.00
2004 04 11 14 327  5.4  6.2  0.64  5.26  4.13 999 1023.1  -0.8   1.0 999.0 99.0 99.00
2004 04 11 15 327  3.0  4.0  0.61  5.26  4.09 999 1023.5  -0.8   1.0 999.0 99.0 99.00
2004 04 11 16 317  2.5  3.4  0.56  4.76  3.96 999 1023.7  -0.7   1.0 999.0 99.0 99.00
2004 04 11 17 345  1.9  2.7  0.51  4.76  3.88 999 1023.8  -0.7   1.1 999.0 99.0 99.00
2004 04 11 18 344  1.9  2.9  0.47  4.55  3.84 999 1023.5  -0.7   1.2 999.0 99.0 99.00
2004 04 11 19 346  3.0  3.8  0.41  4.55  3.78 999 1023.5  -0.6   1.2 999.0 99.0 99.00
2004 04 11 20   4  2.3  2.9  0.36  4.00  3.62 999 1023.5  -0.5   1.3 999.0 99.0 99.00
2004 04 11 21  32  2.1  2.8  0.31  4.55  3.54 999 1023.5  -0.3   1.3 999.0 99.0 99.00
2004 04 11 22  47  2.3  2.9  0.30  4.35  3.53 999 1023.3  -0.2   1.3 999.0 99.0 99.00
