YEAR,MONTH,DAY,PRCP,SNWD,SNOW,WESD,WESF
2008,1,2,25.4,213,NAN,NAN,NAN
2008,2,11,9.7,102,0,9.7,NAN
2008,2,12,0,114,0,NAN,NAN
2008,2,13,1.5,175,69,NAN,1.5
2008,2,15,0.5,NAN,15,NAN,NAN
2008,2,16,0,NAN,0,NAN,NAN
2008,2,18,6.1,0,0,NAN,NAN
2008,2,19,8.1,64,64,8.1,8.1
2008,2,20,0,NAN,0,NAN,NAN
2008,2,21,0,NAN,0,NAN,NAN
2008,2,22,8.1,91,91,8.1,8.1
2008,2,23,8.1,97,97,8.1,8.1
2008,2,26,10.4,193,193,10.4,10.4
2008,2,27,17.8,297,130,18,10.9
2008,2,28,0,257,0,NAN,NAN
2008,2,29,6.9,274,28,18.8,6.9
2008,3,4,4.6,0,0,NAN,NAN
2008,3,5,23.6,NAN,33,NAN,NAN
2008,3,7,10.7,145,145,10.7,10.7
2008,3,9,7.4,551,157,NAN,7.4
2008,3,10,31.5,447,0,31.5,NAN
2008,3,28,8.9,48,48,8.9,8.9
2008,5,15,10.9,NAN,0,NAN,NAN
2008,5,16,0.5,NAN,0,NAN,NAN
2008,5,17,0.5,NAN,0,NAN,NAN
2008,5,18,6.4,NAN,0,NAN,NAN
2008,5,19,0,NAN,0,NAN,NAN
2008,5,20,0,NAN,0,NAN,NAN
2008,5,21,1.8,NAN,0,NAN,NAN
2008,5,22,3,NAN,0,NAN,NAN
2008,5,23,0,NAN,0,NAN,NAN
2008,5,24,0,NAN,0,NAN,NAN
2008,5,25,0,NAN,0,NAN,NAN
2008,5,26,0,NAN,0,NAN,NAN
2008,5,27,0,NAN,0,NAN,NAN
2008,5,29,0,NAN,0,NAN,NAN
2008,5,30,0,NAN,0,NAN,NAN
2008,5,31,1,NAN,0,NAN,NAN
2008,6,1,0,NAN,0,NAN,NAN
2008,6,2,0,NAN,0,NAN,NAN
2008,6,3,4.6,NAN,0,NAN,NAN
2008,6,4,3.3,NAN,0,NAN,NAN
2008,6,5,0.8,NAN,0,NAN,NAN
2008,6,7,0,NAN,0,NAN,NAN
2008,6,8,0,NAN,0,NAN,NAN
2008,6,9,0,NAN,0,NAN,NAN
2008,6,10,25.7,NAN,0,NAN,NAN
2008,6,11,0,NAN,0,NAN,NAN
2008,6,12,0,NAN,0,NAN,NAN
2008,6,13,0,NAN,0,NAN,NAN
2008,6,14,34,NAN,0,NAN,NAN
