Row,YEAR,MONTH,SEASON,LAKE,CRUISE_ID,VISIT_ID,STATION_ID,STN_DEPTH_M,LATITUDE,LONGITUDE,SAMPLING_DATE,TIME_ZONE,SAMPLE_DEPTH_M,DEPTH_CODE,MEDIUM,SAMPLE_TYPE,QC_TYPE,SAMPLE_ID,ANL_CODE_1,ANALYTE_1,VALUE_1,UNITS_1,FRACTION_1,METHOD_1,RESULT_REMARK_1,
"1","2008","April    ","Spring","Erie","ER0811","E059M08","ER59","8.3","41.726333","-83.149983","2008/04/21 22:02","EDT","4.2","Middle Depth","surface water","Individual QC","lab duplicate","08GC17C43","Hard-tot as CaCO3","Hardness, Total as CaCO3","110.3","mg/l","Total/Bulk","LG500","",
"2","2008","April    ","Spring","Erie","ER0811","E061M08","ER61","9.3","41.946","-83.0435","2008/04/21 19:35","EDT","4.8","Middle Depth","surface water","Individual","routine field sample","08GC17S03","Hard-tot as CaCO3","Hardness, Total as CaCO3","112.5","mg/l","Total/Bulk","LG500","",
"3","2008","April    ","Spring","Erie","ER0811","E060M08","ER60","8.6","41.892333","-83.197333","2008/04/21 20:48","EDT","4.4","Middle Depth","surface water","Individual","routine field sample","08GC17S23","Hard-tot as CaCO3","Hardness, Total as CaCO3","105.6","mg/l","Total/Bulk","LG500","",
"4","2008","April    ","Spring","Erie","ER0811","E059M08","ER59","8.3","41.726333","-83.149983","2008/04/21 22:02","EDT","4.2","Middle Depth","surface water","Individual","routine field sample","08GC17S43","Hard-tot as CaCO3","Hardness, Total as CaCO3","109.8","mg/l","Total/Bulk","LG500","",
"5","2008","April    ","Spring","Erie","ER0811","E058M08","ER58","9.7","41.685","-82.933667","2008/04/21 23:14","EDT","4.8","Middle Depth","surface water","Individual","routine field sample","08GC17S63","Hard-tot as CaCO3","Hardness, Total as CaCO3","129.3","mg/l","Total/Bulk","LG500","",
"6","2008","April    ","Spring","Erie","ER0811","E091M08","ER91M","10.6","41.840833","-82.9165","2008/04/22 01:55","EDT","5.2","Five Meter","surface water","Individual","routine field sample","08GC17S82","Hard-tot as CaCO3","Hardness, Total as CaCO3","119.5","mg/l","Total/Bulk","LG500","",
"7","2008","April    ","Spring","Erie","ER0811","E0FEM08","ERFE","7.3","41.583333","-82.904833","2008/04/22 00:10","EDT","3.7","Middle Depth","surface water","Individual","routine field sample","08GC18S03","Hard-tot as CaCO3","Hardness, Total as CaCO3","131.4","mg/l","Total/Bulk","LG500","",
"8","2008","April    ","Spring","Erie","ER0811","E092M08","ER92","11.3","41.95","-82.6865","2008/04/22 03:35","EDT","5.5","Middle Depth","surface water","Individual","routine field sample","08GC18S23","Hard-tot as CaCO3","Hardness, Total as CaCO3","112.6","mg/l","Total/Bulk","LG500","",
"9","2008","April    ","Spring","Erie","ER0811","E043M08","ER43","22.7","41.7885","-81.945","2008/04/22 08:35","EDT","11.2","Middle Depth","surface water","Individual","routine field sample","08GC18S43","Hard-tot as CaCO3","Hardness, Total as CaCO3","124.1","mg/l","Total/Bulk","LG500","",
"10","2008","April    ","Spring","Erie","ER0811","E042M08","ER42","22.8","41.965","-82.042","2008/04/22 07:00","EDT","11.3","Middle Depth","surface water","Individual","routine field sample","08GC18S63","Hard-tot as CaCO3","Hardness, Total as CaCO3","123.8","mg/l","Total/Bulk","LG500","",
"11","2008","April    ","Spring","Erie","ER0811","E073M08","ER73","24.8","41.977667","-81.757167","2008/04/22 10:15","EDT","12.1","Middle Depth","surface water","Individual","routine field sample","08GC18S83","Hard-tot as CaCO3","Hardness, Total as CaCO3","125.9","mg/l","Total/Bulk","LG500","",
"12","2008","April    ","Spring","Erie","ER0811","E036M08","ER36","23.8","41.934833","-81.478333","2008/04/22 11:45","EDT","11.7","Middle Depth","surface water","Individual QC","field duplicate","08GC19D03","Hard-tot as CaCO3","Hardness, Total as CaCO3","117.5","mg/l","Total/Bulk","LG500","",
"13","2008","April    ","Spring","Erie","ER0811","E036M08","ER36","23.8","41.934833","-81.478333","2008/04/22 11:45","EDT","11.7","Middle Depth","surface water","Individual","routine field sample","08GC19S03","Hard-tot as CaCO3","Hardness, Total as CaCO3","117.8","mg/l","Total/Bulk","LG500","",
"14","2008","April    ","Spring","Erie","ER0811","E037M08","ER37","24.6","42.111167","-81.574167","2008/04/22 13:05","EDT","12.1","Middle Depth","surface water","Individual","routine field sample","08GC19S23","Hard-tot as CaCO3","Hardness, Total as CaCO3","117.9","mg/l","Total/Bulk","LG500","",
"15","2008","April    ","Spring","Erie","ER0811","E038M08","ER38","22.7","42.280667","-81.67","2008/04/22 14:30","EDT","11.1","Middle Depth","surface water","Individual","routine field sample","08GC19S43","Hard-tot as CaCO3","Hardness, Total as CaCO3","119.8","mg/l","Total/Bulk","LG500","",
"16","2008","April    ","Spring","Erie","ER0811","E078M08","ER78M","23.5","42.116833","-81.25","2008/04/22 16:45","EDT","9.9","Ten Meter","surface water","Individual","routine field sample","08GC19S63","Hard-tot as CaCO3","Hardness, Total as CaCO3","119.2","mg/l","Total/Bulk","LG500","",
"17","2008","April    ","Spring","Erie","ER0811","E032M08","ER32","23.2","42.081667","-81.011667","2008/04/22 18:27","EDT","11.3","Middle Depth","surface water","Individual","routine field sample","08GC19S83","Hard-tot as CaCO3","Hardness, Total as CaCO3","115.9","mg/l","Total/Bulk","LG500","",
"18","2008","April    ","Spring","Erie","ER0811","E031M08","ER31","22.8","42.2535","-81.106333","2008/04/22 19:55","EDT","11.1","Middle Depth","surface water","Individual QC","lab duplicate","08GC20C03","Hard-tot as CaCO3","Hardness, Total as CaCO3","116.1","mg/l","Total/Bulk","LG500","",
"19","2008","April    ","Spring","Erie","ER0811","E030M08","ER30","21.6","42.43","-81.205","2008/04/22 21:20","EDT","10.5","Middle Depth","surface water","Individual QC","field duplicate","08GC20D23","Hard-tot as CaCO3","Hardness, Total as CaCO3","118.1","mg/l","Total/Bulk","LG500","",
"20","2008","April    ","Spring","Erie","ER0811","E031M08","ER31","22.8","42.2535","-81.106333","2008/04/22 19:55","EDT","11.1","Middle Depth","surface water","Individual","routine field sample","08GC20S03","Hard-tot as CaCO3","Hardness, Total as CaCO3","116","mg/l","Total/Bulk","LG500","",
"21","2008","April    ","Spring","Erie","ER0811","E030M08","ER30","21.6","42.43","-81.205","2008/04/22 21:20","EDT","10.5","Middle Depth","surface water","Individual","routine field sample","08GC20S23","Hard-tot as CaCO3","Hardness, Total as CaCO3","118.2","mg/l","Total/Bulk","LG500","",
"22","2008","April    ","Spring","Erie","ER0811","E015M08","ER15M","64.2","42.5165","-79.8935","2008/04/23 04:40","EDT","30","Thirty Meter","surface water","Individual","routine field sample","08GC20S45","Hard-tot as CaCO3","Hardness, Total as CaCO3","123.6","mg/l","Total/Bulk","LG500","",
"23","2008","April    ","Spring","Erie","ER0811","E063M08","ER63","46.7","42.4165","-79.8","2008/04/23 03:30","EDT","21.9","Middle Depth","surface water","Individual","routine field sample","08GC20S63","Hard-tot as CaCO3","Hardness, Total as CaCO3","127","mg/l","Total/Bulk","LG500","",
"24","2008","April    ","Spring","Erie","ER0811","E009M08","ER09","50.6","42.5385","-79.61715","2008/04/23 06:35","EDT","24.7","Middle Depth","surface water","Individual","routine field sample","08GC20S83","Hard-tot as CaCO3","Hardness, Total as CaCO3","124.5","mg/l","Total/Bulk","LG500","",
"25","2008","April    ","Spring","Erie","ER0811","E010M08","ER10","34.1","42.679667","-79.691333","2008/04/23 07:30","EDT","16.4","Middle Depth","surface water","Individual QC","lab duplicate","08GC21C03","Hard-tot as CaCO3","Hardness, Total as CaCO3","122.8","mg/l","Total/Bulk","LG500","",
"26","2008","April    ","Spring","Erie","ER0811","E010M08","ER10","34.1","42.679667","-79.691333","2008/04/23 07:30","EDT","16.4","Middle Depth","surface water","Individual","routine field sample","08GC21S03","Hard-tot as CaCO3","Hardness, Total as CaCO3","124","mg/l","Total/Bulk","LG500","",
"27","2008","August   ","Summer","Erie","ER0821","E061G08","ER61","9.1","41.946833","-83.045833","2008/08/08 02:47","EDT","4.5","Middle Depth","surface water","Individual","routine field sample","08GC40S02","Hard-tot as CaCO3","Hardness, Total as CaCO3","104.8","mg/l","Total/Bulk","LG500","",
"28","2008","August   ","Summer","Erie","ER0821","E060G08","ER60","8.1","41.892","-83.196167","2008/08/08 04:06","EDT","4.2","Middle Depth","surface water","Individual","routine field sample","08GC40S22","Hard-tot as CaCO3","Hardness, Total as CaCO3","102","mg/l","Total/Bulk","LG500","",
"29","2008","August   ","Summer","Erie","ER0821","E059G08","ER59","8","41.726833","-83.1505","2008/08/08 05:30","EDT","4.3","Middle Depth","surface water","Individual","routine field sample","08GC40S42","Hard-tot as CaCO3","Hardness, Total as CaCO3","103","mg/l","Total/Bulk","LG500","",
"30","2008","August   ","Summer","Erie","ER0821","E058G08","ER58","9.3","41.6845","-82.9335","2008/08/08 06:57","EDT","5","Middle Depth","surface water","Individual","routine field sample","08GC40S62","Hard-tot as CaCO3","Hardness, Total as CaCO3","110.8","mg/l","Total/Bulk","LG500","",
"31","2008","August   ","Summer","Erie","ER0821","E091G08","ER91M","10","41.840667","-82.916667","2008/08/08 10:18","EDT","5","Mid Epilimnion","surface water","Individual","routine field sample","08GC40S82","Hard-tot as CaCO3","Hardness, Total as CaCO3","115.5","mg/l","Total/Bulk","LG500","",
"32","2008","August   ","Summer","Erie","ER0821","E0FEG08","ERFE","7.2","41.583","-82.903833","2008/08/08 08:20","EDT","3.5","Middle Depth","surface water","Individual","routine field sample","08GC41S02","Hard-tot as CaCO3","Hardness, Total as CaCO3","116.5","mg/l","Total/Bulk","LG500","",
"33","2008","August   ","Summer","Erie","ER0821","E092G08","ER92","10.7","41.950167","-82.686667","2008/08/08 12:15","EDT","5.5","Mid Epilimnion","surface water","Individual","routine field sample","08GC41S22","Hard-tot as CaCO3","Hardness, Total as CaCO3","110","mg/l","Total/Bulk","LG500","",
"34","2008","August   ","Summer","Erie","ER0821","E043G08","ER43","21.9","41.616667","-81.945167","2008/08/09 21:07","EDT","7.6","Mid Epilimnion","surface water","Individual","routine field sample","08GC41S42","Hard-tot as CaCO3","Hardness, Total as CaCO3","114.2","mg/l","Total/Bulk","LG500","",
"35","2008","August   ","Summer","Erie","ER0821","E042G08","ER42","22","41.965","-82.041667","2008/08/09 22:48","EDT","4.9","Mid Epilimnion","surface water","Individual","routine field sample","08GC41S62","Hard-tot as CaCO3","Hardness, Total as CaCO3","115.1","mg/l","Total/Bulk","LG500","",
"36","2008","August   ","Summer","Erie","ER0821","E042G08","ER42","22","41.965","-82.041667","2008/08/09 22:48","EDT","16","Mid Hypolimnion","surface water","Individual","routine field sample","08GC41S66","Hard-tot as CaCO3","Hardness, Total as CaCO3","118.8","mg/l","Total/Bulk","LG500","",
"37","2008","August   ","Summer","Erie","ER0821","E073G08","ER73","23.8","41.977833","-81.757","2008/08/10 00:25","EDT","5","Mid Epilimnion","surface water","Individual","routine field sample","08GC41S82","Hard-tot as CaCO3","Hardness, Total as CaCO3","117.8","mg/l","Total/Bulk","LG500","",
"38","2008","August   ","Summer","Erie","ER0821","E073G08","ER73","23.8","41.977833","-81.757","2008/08/10 00:25","EDT","19.9","Mid Hypolimnion","surface water","Individual","routine field sample","08GC41S86","Hard-tot as CaCO3","Hardness, Total as CaCO3","120.3","mg/l","Total/Bulk","LG500","",
"39","2008","August   ","Summer","Erie","ER0821","E036G08","ER36","22.8","41.935","-81.478333","2008/08/10 02:08","EDT","18.5","Mid Hypolimnion","surface water","Individual QC","lab duplicate","08GC42C06","Hard-tot as CaCO3","Hardness, Total as CaCO3","119.2","mg/l","Total/Bulk","LG500","",
"40","2008","August   ","Summer","Erie","ER0821","E078G08","ER78M","22.5","42.116833","-81.249167","2008/08/10 11:16","EDT","18","Mid Hypolimnion","surface water","Individual QC","field duplicate","08GC42D66","Hard-tot as CaCO3","Hardness, Total as CaCO3","120.8","mg/l","Total/Bulk","LG500","",
"41","2008","August   ","Summer","Erie","ER0821","E036G08","ER36","22.8","41.935","-81.478333","2008/08/10 02:08","EDT","10","Mid Epilimnion","surface water","Individual","routine field sample","08GC42S02","Hard-tot as CaCO3","Hardness, Total as CaCO3","116.2","mg/l","Total/Bulk","LG500","",
"42","2008","August   ","Summer","Erie","ER0821","E036G08","ER36","22.8","41.935","-81.478333","2008/08/10 02:08","EDT","18.5","Mid Hypolimnion","surface water","Individual","routine field sample","08GC42S06","Hard-tot as CaCO3","Hardness, Total as CaCO3","119.8","mg/l","Total/Bulk","LG500","",
"43","2008","August   ","Summer","Erie","ER0821","E037G08","ER37","23.7","42.11","-81.574833","2008/08/10 03:33","EDT","5","Mid Epilimnion","surface water","Individual","routine field sample","08GC42S22","Hard-tot as CaCO3","Hardness, Total as CaCO3","116.9","mg/l","Total/Bulk","LG500","",
"44","2008","August   ","Summer","Erie","ER0821","E037G08","ER37","23.7","42.11","-81.574833","2008/08/10 03:33","EDT","18.4","Mid Hypolimnion","surface water","Individual","routine field sample","08GC42S26","Hard-tot as CaCO3","Hardness, Total as CaCO3","122","mg/l","Total/Bulk","LG500","",
"45","2008","August   ","Summer","Erie","ER0821","E038G08","ER38","21.6","42.282","-81.671667","2008/08/10 04:59","EDT","4.9","Mid Epilimnion","surface water","Individual","routine field sample","08GC42S42","Hard-tot as CaCO3","Hardness, Total as CaCO3","118.9","mg/l","Total/Bulk","LG500","",
"46","2008","August   ","Summer","Erie","ER0821","E038G08","ER38","21.6","42.282","-81.671667","2008/08/10 04:59","EDT","16.4","Mid Hypolimnion","surface water","Individual","routine field sample","08GC42S46","Hard-tot as CaCO3","Hardness, Total as CaCO3","119","mg/l","Total/Bulk","LG500","",
"47","2008","August   ","Summer","Erie","ER0821","E078G08","ER78M","22.5","42.116833","-81.249167","2008/08/10 11:16","EDT","10.2","Mid Epilimnion","surface water","Individual","routine field sample","08GC42S62","Hard-tot as CaCO3","Hardness, Total as CaCO3","115.6","mg/l","Total/Bulk","LG500","",
"48","2008","August   ","Summer","Erie","ER0821","E078G08","ER78M","22.5","42.116833","-81.249167","2008/08/10 11:16","EDT","18","Mid Hypolimnion","surface water","Individual","routine field sample","08GC42S66","Hard-tot as CaCO3","Hardness, Total as CaCO3","121","mg/l","Total/Bulk","LG500","",
"49","2008","August   ","Summer","Erie","ER0821","E032G08","ER32","22","42.0815","-81.0115","2008/08/10 14:03","EDT","10.1","Mid Epilimnion","surface water","Individual","routine field sample","08GC42S82","Hard-tot as CaCO3","Hardness, Total as CaCO3","116.2","mg/l","Total/Bulk","LG500","",
"50","2008","August   ","Summer","Erie","ER0821","E030G08","ER30","20.7","42.429833","-81.204667","2008/08/10 07:25","EDT","18.3","Mid Hypolimnion","surface water","Individual QC","lab duplicate","08GC43C26","Hard-tot as CaCO3","Hardness, Total as CaCO3","124.4","mg/l","Total/Bulk","LG500","",
"51","2008","August   ","Summer","Erie","ER0821","E015G08","ER15M","62.2","42.516667","-79.893","2008/08/11 03:05","EDT","40.3","Mid Hypolimnion","surface water","Individual QC","lab duplicate","08GC43C46","Hard-tot as CaCO3","Hardness, Total as CaCO3","122.1","mg/l","Total/Bulk","LG500","",
"52","2008","August   ","Summer","Erie","ER0821","E031G08","ER31","21.6","42.253333","-81.1065","2008/08/10 09:39","EDT","10.3","Mid Epilimnion","surface water","Individual","routine field sample","08GC43S02","Hard-tot as CaCO3","Hardness, Total as CaCO3","121.8","mg/l","Total/Bulk","LG500","",
"53","2008","August   ","Summer","Erie","ER0821","E030G08","ER30","20.7","42.429833","-81.204667","2008/08/10 07:25","EDT","10.4","Mid Epilimnion","surface water","Individual","routine field sample","08GC43S22","Hard-tot as CaCO3","Hardness, Total as CaCO3","117.2","mg/l","Total/Bulk","LG500","",
"54","2008","August   ","Summer","Erie","ER0821","E030G08","ER30","20.7","42.429833","-81.204667","2008/08/10 07:25","EDT","18.3","Mid Hypolimnion","surface water","Individual","routine field sample","08GC43S26","Hard-tot as CaCO3","Hardness, Total as CaCO3","123.7","mg/l","Total/Bulk","LG500","",
"55","2008","August   ","Summer","Erie","ER0821","E015G08","ER15M","62.2","42.516667","-79.893","2008/08/11 03:05","EDT","10","Mid Epilimnion","surface water","Individual","routine field sample","08GC43S42","Hard-tot as CaCO3","Hardness, Total as CaCO3","121.6","mg/l","Total/Bulk","LG500","",
"56","2008","August   ","Summer","Erie","ER0821","E015G08","ER15M","62.2","42.516667","-79.893","2008/08/11 03:05","EDT","40.3","Mid Hypolimnion","surface water","Individual","routine field sample","08GC43S46","Hard-tot as CaCO3","Hardness, Total as CaCO3","121.5","mg/l","Total/Bulk","LG500","",
"57","2008","August   ","Summer","Erie","ER0821","E063G08","ER63","45.7","42.416667","-79.800333","2008/08/10 22:00","EDT","9","Mid Epilimnion","surface water","Individual","routine field sample","08GC43S62","Hard-tot as CaCO3","Hardness, Total as CaCO3","116.4","mg/l","Total/Bulk","LG500","",
"58","2008","August   ","Summer","Erie","ER0821","E009G08","ER09","48.6","42.538","-79.615667","2008/08/11 00:30","EDT","10","Mid Epilimnion","surface water","Individual","routine field sample","08GC43S82","Hard-tot as CaCO3","Hardness, Total as CaCO3","118.1","mg/l","Total/Bulk","LG500","",
"59","2008","August   ","Summer","Erie","ER0821","E009G08","ER09","48.6","42.538","-79.615667","2008/08/11 00:30","EDT","34","Mid Hypolimnion","surface water","Individual","routine field sample","08GC43S86","Hard-tot as CaCO3","Hardness, Total as CaCO3","122","mg/l","Total/Bulk","LG500","",
"60","2008","August   ","Summer","Erie","ER0821","E010G08","ER10","32.1","42.679833","-79.691833","2008/08/11 07:10","EDT","10.4","Mid Epilimnion","surface water","Individual","routine field sample","08GC44S02","Hard-tot as CaCO3","Hardness, Total as CaCO3","120.5","mg/l","Total/Bulk","LG500","",
"61","2008","August   ","Summer","Erie","ER0821","E010G08","ER10","32.1","42.679833","-79.691833","2008/08/11 07:10","EDT","26.9","Mid Hypolimnion","surface water","Individual","routine field sample","08GC44S06","Hard-tot as CaCO3","Hardness, Total as CaCO3","124.1","mg/l","Total/Bulk","LG500","",
