Date,"Discharge, cu feet per s"
 2008-10-01,204000
 2008-10-02,204000
 2008-10-03,198000
 2008-10-04,198000
 2008-10-05,195000
 2008-10-06,195000
 2008-10-07,195000
 2008-10-08,198000
 2008-10-09,205000
 2008-10-10,200000
 2008-10-11,196000
 2008-10-12,199000
 2008-10-13,197000
 2008-10-14,196000
 2008-10-15,197000
 2008-10-16,199000
 2008-10-17,196000
 2008-10-18,203000
 2008-10-19,197000
 2008-10-20,199000
 2008-10-21,205000
 2008-10-22,195000
 2008-10-23,196000
 2008-10-24,197000
 2008-10-25,196000
 2008-10-26,199000
 2008-10-27,203000
 2008-10-28,205000
 2008-10-29,202000
 2008-10-30,187000
 2008-10-31,190000
 2008-11-01,194000
 2008-11-02,192000
 2008-11-03,197000
 2008-11-04,198000
 2008-11-05,198000
 2008-11-06,198000
 2008-11-07,191000
 2008-11-08,192000
 2008-11-09,203000
 2008-11-10,193000
 2008-11-11,188000
 2008-11-12,184000
 2008-11-13,181000
 2008-11-14,185000
 2008-11-15,204000
 2008-11-16,210000
 2008-11-17,207000
 2008-11-18,204000
 2008-11-19,191000
 2008-11-20,208000
 2008-11-21,204000
 2008-11-22,197000
 2008-11-23,193000
 2008-11-24,188000
 2008-11-25,202000
 2008-11-26,197000
 2008-11-27,190000
 2008-11-28,197000
 2008-11-29,186000
 2008-11-30,188000
 2008-12-01,195000
 2008-12-02,188000
 2008-12-03,176000
 2008-12-04,193000
 2008-12-05,189000
 2008-12-06,177000
 2008-12-07,197000
 2008-12-08,181000
 2008-12-09,186000
 2008-12-10,195000
 2008-12-11,193000
 2008-12-12,196000
 2008-12-13,177000
 2008-12-14,177000
 2008-12-15,188000
 2008-12-16,184000
 2008-12-17,191000
 2008-12-18,190000
 2008-12-19,195000
 2008-12-20,192000
 2008-12-21,188000
 2008-12-22,180000
 2008-12-23,139000
 2008-12-24,143000
 2008-12-25,188000
 2008-12-26,175000
 2008-12-27,179000
 2008-12-28,198000
 2008-12-29,199000
 2008-12-30,216000
 2008-12-31,219000
 2009-01-01,189000
 2009-01-02,199000
 2009-01-03,198000
 2009-01-04,196000
 2009-01-05,199000
 2009-01-06,186000
 2009-01-07,187000
 2009-01-08,206000
 2009-01-09,194000
 2009-01-10,183000
 2009-01-11,184000
 2009-01-12,184000
 2009-01-13,191000
 2009-01-14,177000
 2009-01-15,167000
 2009-01-16,147000
 2009-01-17,145000
 2009-01-18,152000
 2009-01-19,154000
 2009-01-20,153000
 2009-01-21,149000
 2009-01-22,155000
 2009-01-23,158000
 2009-01-24,159000
 2009-01-25,159000
 2009-01-26,150000
 2009-01-27,152000
 2009-01-28,154000
 2009-01-29,154000
 2009-01-30,159000
 2009-01-31,157000
 2009-02-01,150000
 2009-02-02,157000
 2009-02-03,159000
 2009-02-04,164000
 2009-02-05,169000
 2009-02-06,162000
 2009-02-07,156000
 2009-02-08,163000
 2009-02-09,170000
 2009-02-10,173000
 2009-02-11,183000
 2009-02-12,215000
 2009-02-13,222000
 2009-02-14,221000
 2009-02-15,221000
 2009-02-16,218000
 2009-02-17,211000
 2009-02-18,204000
 2009-02-19,217000
 2009-02-20,200000
 2009-02-21,180000
 2009-02-22,194000
 2009-02-23,187000
 2009-02-24,183000
 2009-02-25,181000
 2009-02-26,184000
 2009-02-27,192000
 2009-02-28,192000
 2009-03-01,201000
 2009-03-02,189000
 2009-03-03,192000
 2009-03-04,192000
 2009-03-05,190000
 2009-03-06,188000
 2009-03-07,198000
 2009-03-08,191000
 2009-03-09,213000
 2009-03-10,202000
 2009-03-11,217000
 2009-03-12,219000
 2009-03-13,210000
 2009-03-14,213000
 2009-03-15,208000
 2009-03-16,204000
 2009-03-17,201000
 2009-03-18,199000
 2009-03-19,202000
 2009-03-20,200000
 2009-03-21,194000
 2009-03-22,199000
 2009-03-23,188000
 2009-03-24,178000
 2009-03-25,181000
 2009-03-26,195000
 2009-03-27,192000
 2009-03-28,198000
 2009-03-29,190000
 2009-03-30,204000
 2009-03-31,185000
 2009-04-01,182000
 2009-04-02,190000
 2009-04-03,198000
 2009-04-04,203000
 2009-04-05,196000
 2009-04-06,214000
 2009-04-07,218000
 2009-04-08,207000
 2009-04-09,200000
 2009-04-10,205000
 2009-04-11,205000
 2009-04-12,198000
 2009-04-13,189000
 2009-04-14,189000
 2009-04-15,201000
 2009-04-16,202000
 2009-04-17,198000
 2009-04-18,193000
 2009-04-19,180000
 2009-04-20,179000
 2009-04-21,179000
 2009-04-22,199000
 2009-04-23,200000
 2009-04-24,183000
 2009-04-25,181000
 2009-04-26,194000
 2009-04-27,181000
 2009-04-28,204000
 2009-04-29,194000
 2009-04-30,197000
 2009-05-01,205000
 2009-05-02,195000
 2009-05-03,195000
 2009-05-04,198000
 2009-05-05,191000
 2009-05-06,189000
 2009-05-07,188000
 2009-05-08,193000
 2009-05-09,192000
 2009-05-10,196000
 2009-05-11,193000
 2009-05-12,193000
 2009-05-13,179000
 2009-05-14,184000
 2009-05-15,196000
 2009-05-16,192000
 2009-05-17,197000
 2009-05-18,190000
 2009-05-19,182000
 2009-05-20,189000
 2009-05-21,192000
 2009-05-22,196000
 2009-05-23,185000
 2009-05-24,196000
 2009-05-25,189000
 2009-05-26,195000
 2009-05-27,209000
 2009-05-28,200000
 2009-05-29,203000
 2009-05-30,193000
 2009-05-31,195000
 2009-06-01,191000
 2009-06-02,197000
 2009-06-03,196000
 2009-06-04,194000
 2009-06-05,195000
 2009-06-06,198000
 2009-06-07,193000
 2009-06-08,188000
 2009-06-09,198000
 2009-06-10,190000
 2009-06-11,194000
 2009-06-12,198000
 2009-06-13,190000
 2009-06-14,193000
 2009-06-15,197000
 2009-06-16,198000
 2009-06-17,196000
 2009-06-18,195000
 2009-06-19,189000
 2009-06-20,199000
 2009-06-21,201000
 2009-06-22,207000
 2009-06-23,204000
 2009-06-24,200000
 2009-06-25,196000
 2009-06-26,201000
 2009-06-27,200000
 2009-06-28,198000
 2009-06-29,190000
 2009-06-30,199000
 2009-07-01,190000
 2009-07-02,195000
 2009-07-03,196000
 2009-07-04,194000
 2009-07-05,196000
 2009-07-06,198000
 2009-07-07,197000
 2009-07-08,195000
 2009-07-09,197000
 2009-07-10,199000
 2009-07-11,199000
 2009-07-12,191000
 2009-07-13,197000
 2009-07-14,192000
 2009-07-15,188000
 2009-07-16,197000
 2009-07-17,195000
 2009-07-18,196000
 2009-07-19,192000
 2009-07-20,192000
 2009-07-21,191000
 2009-07-22,193000
 2009-07-23,192000
 2009-07-24,191000
 2009-07-25,188000
 2009-07-26,189000
 2009-07-27,192000
 2009-07-28,184000
 2009-07-29,194000
 2009-07-30,191000
 2009-07-31,192000
 2009-08-01,182000
 2009-08-02,196000
 2009-08-03,177000
 2009-08-04,191000
 2009-08-05,186000
 2009-08-06,193000
 2009-08-07,191000
 2009-08-08,184000
 2009-08-09,194000
 2009-08-10,200000
 2009-08-11,203000
 2009-08-12,194000
 2009-08-13,192000
 2009-08-14,196000
 2009-08-15,194000
 2009-08-16,193000
 2009-08-17,193000
 2009-08-18,193000
 2009-08-19,191000
 2009-08-20,177000
 2009-08-21,186000
 2009-08-22,197000
 2009-08-23,194000
 2009-08-24,193000
 2009-08-25,198000
 2009-08-26,220000
 2009-08-27,198000
 2009-08-28,190000
 2009-08-29,199000
 2009-08-30,206000
 2009-08-31,199000
 2009-09-01,199000
 2009-09-02,200000
 2009-09-03,197000
 2009-09-04,194000
 2009-09-05,192000
 2009-09-06,189000
 2009-09-07,190000
 2009-09-08,188000
 2009-09-09,190000
 2009-09-10,189000
 2009-09-11,186000
 2009-09-12,193000
 2009-09-13,192000
 2009-09-14,195000
 2009-09-15,195000
 2009-09-16,190000
 2009-09-17,193000
 2009-09-18,197000
 2009-09-19,196000
 2009-09-20,199000
 2009-09-21,192000
 2009-09-22,195000
 2009-09-23,194000
 2009-09-24,192000
 2009-09-25,189000
 2009-09-26,196000
 2009-09-27,197000
 2009-09-28,201000
 2009-09-29,204000
 2009-09-30,203000
 2009-10-01,200000
 2009-10-02,194000
 2009-10-03,191000
 2009-10-04,206000
 2009-10-05,205000
 2009-10-06,192000
 2009-10-07,206000
 2009-10-08,196000
 2009-10-09,207000
 2009-10-10,206000
 2009-10-11,211000
 2009-10-12,207000
 2009-10-13,214000
 2009-10-14,212000
 2009-10-15,210000
 2009-10-16,207000
 2009-10-17,210000
 2009-10-18,204000
 2009-10-19,197000
 2009-10-20,204000
 2009-10-21,201000
 2009-10-22,205000
 2009-10-23,192000
 2009-10-24,203000
 2009-10-25,199000
 2009-10-26,196000
 2009-10-27,202000
 2009-10-28,202000
 2009-10-29,198000
 2009-10-30,194000
 2009-10-31,200000
 2009-11-01,201000
 2009-11-02,196000
 2009-11-03,209000
 2009-11-04,200000
 2009-11-05,209000
 2009-11-06,201000
 2009-11-07,197000
 2009-11-08,205000
 2009-11-09,203000
 2009-11-10,207000
 2009-11-11,207000
 2009-11-12,209000
 2009-11-13,205000
 2009-11-14,204000
 2009-11-15,207000
 2009-11-16,207000
 2009-11-17,202000
 2009-11-18,208000
 2009-11-19,204000
 2009-11-20,208000
 2009-11-21,202000
 2009-11-22,199000
 2009-11-23,201000
 2009-11-24,204000
 2009-11-25,201000
 2009-11-26,198000
 2009-11-27,211000
 2009-11-28,198000
 2009-11-29,201000
 2009-11-30,202000
 2009-12-01,202000
 2009-12-02,201000
 2009-12-03,209000
 2009-12-04,206000
 2009-12-05,202000
 2009-12-06,196000
 2009-12-07,202000
 2009-12-08,198000
 2009-12-09,183000
 2009-12-10,210000
 2009-12-11,204000
 2009-12-12,190000
 2009-12-13,197000
 2009-12-14,195000
 2009-12-15,205000
 2009-12-16,199000
 2009-12-17,200000
 2009-12-18,191000
 2009-12-19,194000
 2009-12-20,197000
 2009-12-21,200000
 2009-12-22,199000
 2009-12-23,197000
 2009-12-24,192000
 2009-12-25,187000
 2009-12-26,192000
 2009-12-27,194000
 2009-12-28,208000
 2009-12-29,201000
 2009-12-30,189000
 2009-12-31,198000
 2010-01-01,208000
 2010-01-02,187000
 2010-01-03,178000
 2010-01-04,189000
 2010-01-05,200000
 2010-01-06,200000
 2010-01-07,193000
 2010-01-08,192000
 2010-01-09,183000
 2010-01-10,173000
 2010-01-11,155000
 2010-01-12,147000
 2010-01-13,138000
 2010-01-14,146000
 2010-01-15,151000
 2010-01-16,154000
 2010-01-17,156000
 2010-01-18,160000
 2010-01-19,164000
 2010-01-20,173000
 2010-01-21,168000
 2010-01-22,178000
 2010-01-23,176000
 2010-01-24,168000
 2010-01-25,172000
 2010-01-26,176000
 2010-01-27,176000
 2010-01-28,186000
 2010-01-29,169000
 2010-01-30,172000
 2010-01-31,179000
 2010-02-01,174000
 2010-02-02,172000
 2010-02-03,176000
 2010-02-04,180000
 2010-02-05,177000
 2010-02-06,174000
 2010-02-07,169000
 2010-02-08,153000
 2010-02-09,135000
 2010-02-10,136000
 2010-02-11,123000
 2010-02-12,118000
 2010-02-13,118000
 2010-02-14,122000
 2010-02-15,116000
 2010-02-16,123000
 2010-02-17,126000
 2010-02-18,126000
 2010-02-19,131000
 2010-02-20,133000
 2010-02-21,136000
 2010-02-22,141000
 2010-02-23,150000
 2010-02-24,157000
 2010-02-25,165000
 2010-02-26,175000
 2010-02-27,172000
 2010-02-28,174000
 2010-03-01,178000
 2010-03-02,181000
 2010-03-03,186000
 2010-03-04,190000
 2010-03-05,193000
 2010-03-06,195000
 2010-03-07,197000
 2010-03-08,197000
 2010-03-09,196000
 2010-03-10,199000
 2010-03-11,197000
 2010-03-12,203000
 2010-03-13,184000
 2010-03-14,196000
 2010-03-15,206000
 2010-03-16,209000
 2010-03-17,212000
