Year,Month,Day,Inflow volume [m3 d-1],Inflow temperature [°C],*Suspended sediment concentration [mg m-3],"*Orthophosphate, water, filtered, as phosphorus [mg m-3]","*Phosphorus, water, unfiltered,  as phosphorus [mg m-3]","*Phosphorus, water, filtered, as phosphorus [mg m-3]","*Orthophosphate, water, filtered, as PO4 [mg m-3]",Inflow concentration of chlorophyll-a (Chla-P) [mg m-3],Inflow concentration of dissolved organic carbon (DOC) [mg m-3],Inflow concentration of dissolved inorganic carbon (DIC) [mg m-3],Inflow concentration of O2 [mg m-3],Inflow concentration of NO3 [mg m-3],Inflow concentration of NH4 [mg m-3],Inflow concentration of SO4 [mg m-3],Inflow concentration of aqueous iron (Fe2+) [mg m-3],Inflow concentration of Ca2+ [mg m-3],Inflow pH [-],Inflow concentration of CH4 [mg m-3],Inflow concentration of total solid iron (Fe3+) [mg m-3],Inflow concentration of aluminum (Al3+) [mg m-3],Inflow concentration of dissolved silica [mg m-3],"*Iron, suspended sediment, recoverable [mg m-3]","*Iron, water, unfiltered, recoverable [mg m-3]","*Iron, water, filtered [mg m-3]","*Suspended solids, water, unfiltered [mg m-3]"
1980,1,1,740700.7465,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,2,704002.1134,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,3,655070.6025,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,4,642226.0808,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,5,592071.2821,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,6,537023.3325,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,7,526013.7424,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,8,485645.2459,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,9,463014.4221,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,10,456897.9832,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,11,570663.746,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,12,529683.6057,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,13,540693.1957,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,14,542528.1272,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,15,542528.1272,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,16,539469.908,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,17,537023.3323,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,18,575556.8972,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,19,563935.6634,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,20,542528.1272,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,21,533353.4691,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,22,515615.7964,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,23,499713.0552,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,24,460567.8465,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,25,470965.7926,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,26,427539.0767,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,27,444053.4616,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,28,428762.3644,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,29,410413.0479,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,30,398180.1701,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,31,384724.0046,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,1,356588.3858,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,2,350471.947,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,3,342520.5764,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,4,335180.8498,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,5,309491.8066,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,6,312550.026,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,7,306433.5872,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,8,298482.2166,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,9,302763.7238,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,10,298482.2167,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,11,305821.9433,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,12,296647.285,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,13,294200.7094,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,14,303375.3677,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,15,294200.7094,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,16,300317.1483,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,17,307045.231,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,18,303375.3678,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,19,302763.7239,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,20,295423.9972,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,21,303987.0116,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,22,474635.6558,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,23,563935.6634,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,24,504606.2063,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,25,474635.6559,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,26,418976.0623,,,,,,,,,,,,,,,,,,,,,,,,
