agency_cd, site_no, datetime, 109477_00060_00003, 109477_00060_00003_cd, 109480_80154_00003, 109480_80154_00003_cd, 109481_80155_00003, 109481_80155_00003_cd, 232942_00665_00003, 232942_00665_00003_cd, 232943_91007_00003, 232943_91007_00003_cd
USGS,4193500, 1982-07-01,5500, A,73, A,1080, A, , , ,
USGS,4193500, 1982-07-02,4050, A,57, A,623, A, , , ,
USGS,4193500, 1982-07-03,6880, A,89, A,1650, A, , , ,
USGS,4193500, 1982-07-04,19300, A,230, A,12000, A, , , ,
USGS,4193500, 1982-07-05,16000, A,192, A,8290, A, , , ,
USGS,4193500, 1982-07-06,11900, A,146, A,4690, A, , , ,
USGS,4193500, 1982-07-07,7430, A,97, A,1950, A, , , ,
USGS,4193500, 1982-07-08,4400, A,61, A,725, A, , , ,
USGS,4193500, 1982-07-09,3160, A,46, A,392, A, , , ,
USGS,4193500, 1982-07-10,2520, A,40, A,272, A, , , ,
USGS,4193500, 1982-07-11,2380, A,38, A,244, A, , , ,
USGS,4193500, 1982-07-12,2440, A,39, A,257, A, , , ,
USGS,4193500, 1982-07-13,2450, A,39, A,258, A, , , ,
USGS,4193500, 1982-07-14,2540, A,40, A,274, A, , , ,
USGS,4193500, 1982-07-15,1920, A,33, A,171, A, , , ,
USGS,4193500, 1982-07-16,1560, A,30, A,126, A, , , ,
USGS,4193500, 1982-07-17,1280, A,27, A,93, A, , , ,
USGS,4193500, 1982-07-18,1120, A,26, A,79, A, , , ,
USGS,4193500, 1982-07-19,1040, A,26, A,73, A, , , ,
USGS,4193500, 1982-07-20,1210, A,26, A,85, A, , , ,
USGS,4193500, 1982-07-21,1360, A,29, A,106, A, , , ,
USGS,4193500, 1982-07-22,1590, A,30, A,129, A, , , ,
USGS,4193500, 1982-07-23,1470, A,29, A,115, A, , , ,
USGS,4193500, 1982-07-24,1150, A,26, A,81, A, , , ,
USGS,4193500, 1982-07-25,1190, A,26, A,84, A, , , ,
USGS,4193500, 1982-07-26,970, A,25, A,65, A, , , ,
USGS,4193500, 1982-07-27,807, A,24, A,52, A, , , ,
USGS,4193500, 1982-07-28,648, A,23, A,40, A, , , ,
USGS,4193500, 1982-07-29,574, A,23, A,36, A, , , ,
USGS,4193500, 1982-07-30,741, A,23, A,46, A, , , ,
USGS,4193500, 1982-07-31,633, A,23, A,39, A, , , ,
USGS,4193500, 1982-08-01,560, A,23, A,35, A, , , ,
USGS,4193500, 1982-08-02,492, A,23, A,31, A, , , ,
USGS,4193500, 1982-08-03,492, A,23, A,31, A, , , ,
USGS,4193500, 1982-08-04,519, A,23, A,32, A, , , ,
USGS,4193500, 1982-08-05,618, A,23, A,38, A, , , ,
USGS,4193500, 1982-08-06,519, A,23, A,32, A, , , ,
USGS,4193500, 1982-08-07,404, A,23, A,25, A, , , ,
USGS,4193500, 1982-08-08,546, A,23, A,34, A, , , ,
USGS,4193500, 1982-08-09,519, A,23, A,32, A, , , ,
USGS,4193500, 1982-08-10,416, A,23, A,26, A, , , ,
USGS,4193500, 1982-08-11,618, A,23, A,38, A, , , ,
USGS,4193500, 1982-08-12,492, A,23, A,31, A, , , ,
USGS,4193500, 1982-08-13,441, A,23, A,27, A, , , ,
USGS,4193500, 1982-08-14,416, A,23, A,26, A, , , ,
USGS,4193500, 1982-08-15,381, A,23, A,24, A, , , ,
USGS,4193500, 1982-08-16,347, A,23, A,22, A, , , ,
USGS,4193500, 1982-08-17,325, A,24, A,21, A, , , ,
USGS,4193500, 1982-08-18,304, A,24, A,20, A, , , ,
USGS,4193500, 1982-08-19,293, A,24, A,19, A, , , ,
USGS,4193500, 1982-08-20,347, A,23, A,22, A, , , ,
USGS,4193500, 1982-08-21,325, A,24, A,21, A, , , ,
USGS,4193500, 1982-08-22,253, A,26, A,18, A, , , ,
USGS,4193500, 1982-08-23,369, A,27, A,27, A, , , ,
USGS,4193500, 1982-08-24,381, A,23, A,24, A, , , ,
USGS,4193500, 1982-08-25,381, A,23, A,24, A, , , ,
USGS,4193500, 1982-08-26,314, A,25, A,21, A, , , ,
USGS,4193500, 1982-08-27,336, A,24, A,22, A, , , ,
USGS,4193500, 1982-08-28,404, A,21, A,23, A, , , ,
USGS,4193500, 1982-08-29,358, A,24, A,23, A, , , ,
USGS,4193500, 1982-08-30,293, A,24, A,19, A, , , ,
USGS,4193500, 1982-08-31,293, A,24, A,19, A, , , ,
USGS,4193500, 1982-09-01,304, A,24, A,20, A, , , ,
USGS,4193500, 1982-09-02,314, A,25, A,21, A, , , ,
USGS,4193500, 1982-09-03,325, A,24, A,21, A, , , ,
USGS,4193500, 1982-09-04,200, A,28, A,15, A, , , ,
USGS,4193500, 1982-09-05,200, A,28, A,15, A, , , ,
USGS,4193500, 1982-09-06,263, A,25, A,18, A, , , ,
USGS,4193500, 1982-09-07,273, A,24, A,18, A, , , ,
USGS,4193500, 1982-09-08,283, A,25, A,19, A, , , ,
USGS,4193500, 1982-09-09,283, A,25, A,19, A, , , ,
USGS,4193500, 1982-09-10,293, A,24, A,19, A, , , ,
USGS,4193500, 1982-09-11,358, A,24, A,23, A, , , ,
USGS,4193500, 1982-09-12,304, A,24, A,20, A, , , ,
USGS,4193500, 1982-09-13,283, A,25, A,19, A, , , ,
USGS,4193500, 1982-09-14,273, A,24, A,18, A, , , ,
USGS,4193500, 1982-09-15,304, A,24, A,20, A, , , ,
USGS,4193500, 1982-09-16,304, A,24, A,20, A, , , ,
USGS,4193500, 1982-09-17,253, A,26, A,18, A, , , ,
USGS,4193500, 1982-09-18,347, A,23, A,22, A, , , ,
USGS,4193500, 1982-09-19,325, A,24, A,21, A, , , ,
USGS,4193500, 1982-09-20,314, A,25, A,21, A, , , ,
USGS,4193500, 1982-09-21,283, A,25, A,19, A, , , ,
USGS,4193500, 1982-09-22,263, A,25, A,18, A, , , ,
USGS,4193500, 1982-09-23,304, A,24, A,20, A, , , ,
USGS,4193500, 1982-09-24,244, A,26, A,17, A, , , ,
USGS,4193500, 1982-09-25,263, A,25, A,18, A, , , ,
USGS,4193500, 1982-09-26,304, A,24, A,20, A, , , ,
USGS,4193500, 1982-09-27,453, A,23, A,28, A, , , ,
USGS,4193500, 1982-09-28,416, A,23, A,26, A, , , ,
USGS,4193500, 1982-09-29,532, A,23, A,33, A, , , ,
USGS,4193500, 1982-09-30,709, A,24, A,46, A, , , ,
USGS,4193500, 1982-10-01,613, A,24, A,40, A, , , ,
USGS,4193500, 1982-10-02,471, A,25, A,32, A, , , ,
USGS,4193500, 1982-10-03,524, A,26, A,37, A, , , ,
USGS,4193500, 1982-10-04,379, A,23, A,24, A, , , ,
USGS,4193500, 1982-10-05,371, A,22, A,22, A, , , ,
USGS,4193500, 1982-10-06,345, A,23, A,21, A, , , ,
USGS,4193500, 1982-10-07,359, A,24, A,23, A, , , ,
USGS,4193500, 1982-10-08,334, A,20, A,18, A, , , ,
USGS,4193500, 1982-10-09,229, A,25, A,15, A, , , ,
USGS,4193500, 1982-10-10,278, A,36, A,27, A, , , ,
USGS,4193500, 1982-10-11,315, A,28, A,24, A, , , ,
USGS,4193500, 1982-10-12,264, A,24, A,17, A, , , ,
USGS,4193500, 1982-10-13,278, A,22, A,17, A, , , ,
USGS,4193500, 1982-10-14,353, A,21, A,20, A, , , ,
USGS,4193500, 1982-10-15,290, A,20, A,16, A, , , ,
USGS,4193500, 1982-10-16,212, A,20, A,11, A, , , ,
USGS,4193500, 1982-10-17,186, A,19, A,9.5, A, , , ,
USGS,4193500, 1982-10-18,198, A,18, A,9.6, A, , , ,
USGS,4193500, 1982-10-19,246, A,25, A,17, A, , , ,
USGS,4193500, 1982-10-20,495, A,98, A,131, A, , , ,
USGS,4193500, 1982-10-21,245, A,30, A,20, A, , , ,
USGS,4193500, 1982-10-22,228, A,13, A,8, A, , , ,
USGS,4193500, 1982-10-23,276, A,14, A,10, A, , , ,
USGS,4193500, 1982-10-24,212, A,14, A,8, A, , , ,
USGS,4193500, 1982-10-25,236, A,15, A,9.6, A, , , ,
USGS,4193500, 1982-10-26,253, A,15, A,10, A, , , ,
USGS,4193500, 1982-10-27,256, A,10, A,6.9, A, , , ,
USGS,4193500, 1982-10-28,260, A,8, A,5.6, A, , , ,
USGS,4193500, 1982-10-29,270, A,16, A,12, A, , , ,
USGS,4193500, 1982-10-30,246, A,10, A,6.6, A, , , ,
USGS,4193500, 1982-10-31,254, A,10, A,6.9, A, , , ,
USGS,4193500, 1982-11-01,390, A,28, A,29, A, , , ,
USGS,4193500, 1982-11-02,2210, A,54, A,322, A, , , ,
USGS,4193500, 1982-11-03,8900, A,118, A,2840, A, , , ,
USGS,4193500, 1982-11-04,9170, A,208, A,5150, A, , , ,
USGS,4193500, 1982-11-05,7320, A,164, A,3240, A, , , ,
USGS,4193500, 1982-11-06,5840, A,93, A,1470, A, , , ,
USGS,4193500, 1982-11-07,4720, A,100, A,1270, A, , , ,
USGS,4193500, 1982-11-08,3660, A,90, A,889, A, , , ,
